"id","nama_desa","kecamatan_id"
"2001","GUNUNG NAGAN","176"
"2002","GUNUNG PAK-PAK","23"
"2003","GUNUNG PUDUNG","128"
"2004","GUNUNG PUTIH","180"
"2005","GUNUNG ROTAN","172"
"2006","GUNUNG SAMARINDA","90"
"2007","GUNUNG SAYANG","135"
"2008","GUNUNG SINGIT","156"
"2009","GUNUNG SUKU","163"
"2010","GUNUNG TUNYANG","202"
"2011","GURAH","21"
"2012","GUREB BLANG GAMPONG JAWA","67"
"2013","GURONG COT","12"
"2014","GUSUNG BATU","224"
"2015","HAGU BARAT LAUT","199"
"2016","HAGU SELATAN","199"
"2017","HAGU TEUNGOH","199"
"2018","HAGU","71"
"2019","HAGU","12"
"2020","HAGU","276"
"2021","HAGU","75"
"2022","HAGU","80"
"2023","HAGU","74"
"2024","HAKHAPEN","23"
"2025","HAKIM BALE BUJANG","163"
"2026","HAKIM PETERI PINTU","135"
"2027","HAKIM TUNGGUL NARU","179"
"2028","HAKIM WIH ILANG","188"
"2029","HALOBAN","162"
"2030","HARAPAN BARU","183"
"2031","HARUM SARI","131"
"2032","HILIR","16"
"2033","HTI RANTO NARO","216"
"2034","HUENG","74"
"2035","HULU PISANG","147"
"2036","HULU","16"
"2037","IBOIH","141"
"2038","IBOIH / IBOH TANJONG","76"
"2039","IBOIH / IBOH TUNONG","76"
"2040","IE ALANG DAYAH","189"
"2041","IE ALANG LAM GHUI","189"
"2042","IE ALANG LAM KREUMEUH (KEUREUMEUN)","189"
"2043","IE ALANG MESJID","189"
"2044","IE BEUDOH","233"
"2045","IE BINTAH","85"
"2046","IE ITAM BAROH","52"
"2047","IE ITAM TUNONG","52"
"2048","IE JEUREUNEH","261"
"2049","IE JEUREUNGEH","79"
"2050","IE MAMEH","107"
"2051","IE MASEN","211"
"2052","IE MERAH","90"
"2053","IE MEUDAMA","277"
"2054","IE MEULEE","144"
"2055","IE RELOP","152"
"2056","IE RHOB BABAH LUENG","99"
"2057","IE RHOB BARAT","99"
"2058","IE RHOB GEULUMPANG / GLUMPANG","99"
