"id","nama_desa","kecamatan_id"
"60001","PASAR BATU","4947"
"60002","PASAR JATI","4874"
"60003","PASAR KEMIS","4939"
"60004","PASAR LAMA","4863"
"60005","PASAR LAMA","4827"
"60006","PASAR LAMA","4836"
"60007","PASAR PANAS","4851"
"60008","PASAR SABTU","4909"
"60009","PASAR SENIN","4867"
"60010","PASAYANGAN BARAT","4945"
"60011","PASAYANGAN SELATAN","4945"
"60012","PASAYANGAN UTARA","4945"
"60013","PASIR PUTIH","4949"
"60014","PASIRAMAN","4919"
"60015","PASTING","4838"
"60016","PASUNGKAN","4921"
"60017","PATARIKAN","4905"
"60018","PATIH MUHUR BARU","4861"
"60019","PATIH MUHUR","4861"
"60020","PATIH SALERA","4897"
"60021","PATIKALAIN","4838"
"60022","PAUH","4829"
"60023","PAUL","4891"
"60024","PAWALUTAN","4905"
"60025","PAYA BESAR","4841"
"60026","PAYA","4855"
"60027","PEGATAN BESAR","4928"
"60028","PEJALA","4868"
"60029","PEJAMBUAN","4828"
"60030","PEKAPURAN LAUT","4863"
"60031","PEKAPURAN RAYA","4942"
"60032","PEKAUMAN DALAM","4834"
"60033","PEKAUMAN ULU","4834"
"60034","PEKAUMAN","4922"
"60035","PEKAUMAN","4834"
"60036","PELAIHARI","4848"
"60037","PELAJAU","4893"
"60038","PELAJU BARU","4974"
"60039","PELAMBUAN","4923"
"60040","PELAPI","4947"
"60041","PEMAKUAN","4828"
"60042","PEMANGKIH BARU","4939"
"60043","PEMANGKIH BARU","4900"
"60044","PEMANGKIH DARAT","4900"
"60045","PEMANGKIH SEBERANG","4910"
"60046","PEMANGKIH TENGAH","4900"
"60047","PEMANGKIH","4910"
"60048","PEMATANG BARU","4834"
"60049","PEMATANG BENTENG HILIR","4909"
"60050","PEMATANG BENTENG","4909"
"60051","PEMATANG DANAU","4919"
"60052","PEMATANG HAMBAWANG","4874"
"60053","PEMATANG KARANGAN HILIR","4854"
"60054","PEMATANG KARANGAN HULU","4854"
"60055","PEMATANG KARANGAN","4854"
"60056","PEMATANG PANJANG","4828"
"60057","PEMATANG ULIN","4934"
"60058","PEMATANG","4846"
"60059","PEMATANG","4904"
"60060","PEMBAKULAN","4831"
"60061","PEMBANTANAN","4828"
"60062","PEMBATAAN","4941"
"60063","PEMBELANCANAN","4952"
"60064","PEMUDA","4848"
"60065","PEMURUS BARU","4922"
"60066","PEMURUS DALAM","4922"
"60067","PEMURUS LUAR","4942"
"60068","PEMURUS","4842"
"60069","PENDALAMAN BARU","4884"
"60070","PENDALAMAN","4884"
"60071","PENGAMBANGAN","4942"
"60072","PENGAMBAU HILIR DALAM","4853"
"60073","PENGAMBAU HULU","4853"
"60074","PENGARON","4839"
"60075","PENGGALAMAN","4865"
"60076","PENGHULU","4862"
"60077","PENYAMBARAN","4827"
"60078","PENYOLONGAN","4868"
"60079","PERAMASAN 2X 9 (SANGA / SEMBILAN)","4954"
"60080","PERAMASAN ATAS","4857"
"60081","PERAMASAN BAWAH","4857"
"60082","PERINTIS RAYA","4866"
"60083","PESAYANGAN","4945"
"60084","PIHANIN RAYA","4906"
"60085","PIHAUNG","4937"
"60086","PIMPING","4832"
"60087","PIMPING","4930"
"60088","PINANG HABANG","4867"
"60089","PINANG HABANG","4878"
"60090","PINANG KARA","4867"
"60091","PINDAHAN BARU","4881"
"60092","PINDAHAN BARU","4957"
"60093","PINGARAN ILIR","4874"
"60094","PINGARAN ULU","4874"
"60095","PIPITAK JAYA","4895"
"60096","PIYAIT","4846"
"60097","PODOK","4842"
"60098","POLEWALI MARAJAE","4935"
"60099","PONDOK BABARIS","4914"
"60100","PONDOK BUTUN","4935"
"60101","PONDOK LABU","4964"
"60102","PUAIN KANAN","4915"
"60103","PUAIN KIWA","4830"
"60104","PUALAM SARI","4826"
"60105","PUDAK STEGAL","4851"
"60106","PUDAK","4846"
"60107","PUDI SEBERANG","4976"
"60108","PUDI","4976"
"60109","PUGAAN","4965"
"60110","PULANTAN","4842"
"60111","PULANTAN","4846"
"60112","PULANTANI / POLANTANI","4937"
"60113","PULAU ALALAK","4938"
"60114","PULAU DAMAR","4905"
"60115","PULAU KERASIAN","4970"
"60116","PULAU KERAYAAN","4970"
"60117","PULAU KERUMPUTAN","4970"
"60118","PULAU KUU (KUU)","4915"
"60119","PULAU NYIUR","4827"
"60120","PULAU PANCI","4974"
"60121","PULAU PANJANG","4917"
"60122","PULAU PINANG UTARA","4826"
"60123","PULAU PINANG","4826"
"60124","PULAU SALAK","4868"
"60125","PULAU SARI","4946"
"60126","PULAU SATU","4868"
"60127","PULAU SEWANGI","4938"
"60128","PULAU SUGARA","4938"
"60129","PULAU TAMBAK","4889"
"60130","PULAU TANJUNG","4868"
"60131","PULAU","4851"
"60132","PUNCAK HARAPAN","4877"
"60133","PUNTIK DALAM","4864"
"60134","PUNTIK LUAR","4864"
"60135","PUNTIK TENGAH","4864"
"60136","PUPUYUAN","4930"
"60137","PURAI","4904"
"60138","PURUI","4958"
"60139","PURUT","4911"
"60140","PURWODADI","4858"
"60141","PURWOSARI BARU","4956"
"60142","PURWOSARI I","4956"
"60143","PURWOSARI II","4956"
"60144","PUTAT ATAS  / TATAU","4914"
"60145","PUTAT BASIUN","4846"
"60146","PUYUN","4859"
"60147","RADEN","4936"
"60148","RAMPA MANUNGGUL","4907"
"60149","RAMPA","4888"
"60150","RAMPA","4894"
"60151","RAMPACENGAL","4964"
"60152","RAMPAH","4975"
"60153","RANATU KAMINTING (RANTAU KEMINTING)","4910"
"60154","RANGAS","4855"
"60155","RANGDA MALINGKUNG","4866"
"60156","RANGGA SURYA","4897"
"60157","RANGGANG DALAM","4928"
"60158","RANGGANG","4928"
"60159","RANTAU BAKULA","4940"
"60160","RANTAU BALAI","4869"
"60161","RANTAU BAMBAN","4898"
"60162","RANTAU BUDA","4951"
"60163","RANTAU BUJUR DARAT","4909"
"60164","RANTAU BUJUR HILIR","4909"
"60165","RANTAU BUJUR HULU","4909"
"60166","RANTAU BUJUR TENGAH","4909"
"60167","RANTAU BUJUR","4869"
"60168","RANTAU BUJUR","4905"
"60169","RANTAU BUJUR","4911"
"60170","RANTAU BUJUR","4910"
"60171","RANTAU BUJUR","4975"
"60172","RANTAU JAYA","4951"
"60173","RANTAU KANAN","4866"
"60174","RANTAU KARAU HILIR","4914"
"60175","RANTAU KARAU HULU","4914"
"60176","RANTAU KARAU RAYA","4914"
"60177","RANTAU KARAU TENGAH","4914"
"60178","RANTAU KIWA","4866"
"60179","RANTAU NANGKA","4940"
"60180","RANTAU PANJANG HILIR","4868"
"60181","RANTAU PANJANG HULU","4868"
"60182","RANTAWAN","4867"
"60183","RAWANA HULU","4926"
"60184","RAWANA","4926"
"60185","RAYA BELANTI","4826"
"60186","REJO WINANGUN","4934"
"60187","REJOSARI","4950"
"60188","REMO","4857"
"60189","RIAM ADUNGAN","4949"
"60190","RIBANG","4947"
"60191","RIMBUN TULANG","4873"
"60192","RINGKIT","4961"
"60193","RINTISAN","4918"
"60194","RIWA","4893"
"60195","ROHAM RAYA","4878"
"60196","RUKAM HILIR","4889"
"60197","RUKAM HULU","4889"
"60198","RUMINTIN","4955"
"60199","RUMPIANG","4881"
"60200","SABUHUR","4843"
"60201","SAHAPI","4974"
"60202","SAKADOYAN","4964"
"60203","SAKALIMAU","4964"
"60204","SALAM BABARIS","4969"
"60205","SALAMAN","4949"
"60206","SALIKUNG","4947"
"60207","SALIMURAN","4868"
"60208","SALINO (MANIANG)","4977"
"60209","SAMBANGAN","4912"
"60210","SAMPANAHAN HILIR","4907"
"60211","SAMPANAHAN","4907"
"60212","SAMPURNA","4887"
"60213","SAMUDA","4897"
"60214","SAMUDA","4906"
"60215","SANG-SANG","4960"
"60216","SANGKING BARU","4952"
"60217","SANTUUN","4947"
"60218","SAPALA","4845"
"60219","SARAKAMAN","4894"
"60220","SARANG BURUNG","4918"
"60221","SARANG HALANG","4848"
"60222","SARANG HALANG","4872"
"60223","SARANG TIUNG","4888"
"60224","SARI GADUNG","4917"
"60225","SARI MULYA","4931"
"60226","SARI MULYA / MULIA","4950"
"60227","SARI UTAMA","4931"
"60228","SARIKANDI","4936"
"60229","SARING SEI / SUNGAI BINJAI","4868"
"60230","SARING SEI / SUNGAI BUBU","4868"
"60231","SATIUNG","4868"
"60232","SATUI BARAT","4835"
"60233","SATUI TIMUR","4835"
"60234","SAWAHAN","4882"
"60235","SAWAJA","4926"
"60236","SAWANG","4955"
"60237","SEBAMBAN BARU","4949"
"60238","SEBAMBAN BARU","4931"
"60239","SEBAMBAN LAMA","4931"
"60240","SEBANTI","4959"
"60241","SEBATUNG","4888"
"60242","SEBELIMBINGAN","4888"
"60243","SEBERANG MASJID","4863"
"60244","SEBULI","4960"
"60245","SEGUMBANG","4935"
"60246","SEI / SUNGAI ALANG","4827"
"60247","SEI / SUNGAI ALAT","4874"
"60248","SEI / SUNGAI ANYAR","4904"
"60249","SEI / SUNGAI ARFAT","4827"
"60250","SEI / SUNGAI ASAM","4827"
"60251","SEI / SUNGAI AWANG","4930"
"60252","SEI / SUNGAI BAHADANGAN","4905"
"60253","SEI / SUNGAI BAHALANG","4854"
"60254","SEI / SUNGAI BAHIM","4840"
"60255","SEI / SUNGAI BAKAR","4890"
"60256","SEI / SUNGAI BAKAU","4936"
"60257","SEI / SUNGAI BAKUNG","4828"
"60258","SEI / SUNGAI BALI","4894"
"60259","SEI / SUNGAI BAMBAN","4957"
"60260","SEI / SUNGAI BANGKAL","4828"
"60261","SEI / SUNGAI BARING","4867"
"60262","SEI / SUNGAI BARU","4863"
"60263","SEI / SUNGAI BATANG ILIR","4865"
"60264","SEI / SUNGAI BATANG","4865"
"60265","SEI / SUNGAI BATUNG","4924"
"60266","SEI / SUNGAI BESAR","4963"
"60267","SEI / SUNGAI BESAR","4827"
"60268","SEI / SUNGAI BETUNG","4907"
"60269","SEI / SUNGAI BILU","4942"
"60270","SEI / SUNGAI BINUANG","4937"
"60271","SEI / SUNGAI BULAN","4840"
"60272","SEI / SUNGAI BULUH","4851"
"60273","SEI / SUNGAI BULUH","4910"
"60274","SEI / SUNGAI CUKA","4949"
"60275","SEI / SUNGAI CUKA","4835"
"60276","SEI / SUNGAI DALAM","4880"
"60277","SEI / SUNGAI DANAU","4835"
"60278","SEI / SUNGAI DUA LAUT","4931"
"60279","SEI / SUNGAI DUA","4917"
"60280","SEI / SUNGAI DURAIT HILIR","4880"
"60281","SEI / SUNGAI DURAIT HULU","4880"
"60282","SEI / SUNGAI DURAIT TENGAH","4880"
