"id","nama_desa","kecamatan_id"
"58001","PANDURAN MULYA","4819"
"58002","PANGI","4772"
"58003","PANGKALAN BANTENG","4693"
"58004","PANGKALAN DEWA","4807"
"58005","PANGKALAN DURIN","4807"
"58006","PANGKALAN MUNTAI","4812"
"58007","PANGKALAN REKAN","4749"
"58008","PANGKALAN SARI","4749"
"58009","PANGKALAN SATU","4757"
"58010","PANGKALAN TIGA","4807"
"58011","PANGKAN","4736"
"58012","PANGKE","4706"
"58013","PANGKOH HILIR","4774"
"58014","PANGKOH HULU","4774"
"58015","PANGKOH SARI","4774"
"58016","PANGKUT","4800"
"58017","PANIMBA RAYA","4704"
"58018","PANJEHANG","4790"
"58019","PANOPA","4722"
"58020","PANTAI HARAPAN","4788"
"58021","PANTAI LAGA","4743"
"58022","PANTAI","4698"
"58023","PANTIK","4774"
"58024","PANUUT (PANAOUT)","4717"
"58025","PAPAR PUJUNG","4778"
"58026","PARAHANGAN","4718"
"58027","PARAHAU","4820"
"58028","PARANG BATANG","4716"
"58029","PARARAPAK","4746"
"58030","PAREBOK","4750"
"58031","PAREMPEI","4781"
"58032","PAREN","4738"
"58033","PARENGGEAN","4719"
"58034","PARING LAHUNG","4809"
"58035","PARING RAYA","4716"
"58036","PARIT","4788"
"58037","PARUPUK","4705"
"58038","PASIR PANJANG","4745"
"58039","PASIR PUTIH","4741"
"58040","PATAI","4795"
"58041","PATAS I","4747"
"58042","PATAS II","4747"
"58043","PATUNG","4736"
"58044","PAYANG ARA","4727"
"58045","PAYANG","4740"
"58046","PEDONGATAN","4769"
"58047","PEGATAN / PAGATAN HILIR","4723"
"58048","PEGATAN / PAGATAN HULU","4723"
"58049","PELACI","4758"
"58050","PELANGSIAN","4741"
"58051","PELANTARAN","4788"
"58052","PELARI","4727"
"58053","PEMANTANG","4708"
"58054","PEMATANG LIMAU","4817"
"58055","PEMATANG LIMAU","4771"
"58056","PEMATANG PANJANG","4733"
"58057","PEMATANG","4742"
"58058","PEMBUANG HULU I","4716"
"58059","PEMBUANG HULU II","4716"
"58060","PEMPANING","4691"
"58061","PENAHAN","4800"
"58062","PENDA ASAM","4746"
"58063","PENDA BARANIA","4718"
"58064","PENDA DURIAN","4708"
"58065","PENDA KETAPI","4698"
"58066","PENDA MUNTEI","4721"
"58067","PENDA NANGE","4822"
"58068","PENDA PILANG","4805"
"58069","PENDA RANGAS","4767"
"58070","PENDA SIRON","4758"
"58071","PENDA TANGARING BARU","4756"
"58072","PENDA TANGARING LAMA","4756"
"58073","PENDAHARA","4732"
"58074","PENDANG","4735"
"58075","PENDREH / PANDREH","4783"
"58076","PENYANG","4717"
"58077","PENYOMBAAN","4800"
"58078","PENYOMBAAN","4814"
"58079","PENYUMPA","4706"
"58080","PEPAS","4809"
"58081","PERIGI (PARIGI)","4810"
"58082","PERSIT RAYA","4771"
"58083","PERYANG","4786"
"58084","PETAK BAHANDANG","4805"
"58085","PETAK BAHANDANG","4803"
"58086","PETAK BATUAH","4780"
"58087","PETAK PUTI","4755"
"58088","PETAK PUTI","4703"
"58089","PETARIKAN","4773"
"58090","PETARIKAN","4812"
"58091","PETUK BERUNAI","4790"
"58092","PETUK BUKIT","4790"
"58093","PETUK KATIMPUN","4791"
"58094","PETUK LITI","4718"
"58095","PIANGGU","4696"
"58096","PILANG MUNDUK","4805"
"58097","PILANG","4802"
"58098","PINANG TUNGGAL","4729"
"58099","PONDOK DAMAR","4713"
"58100","PUDU","4812"
"58101","PUJON","4721"
"58102","PULAU KALADAN","4787"
"58103","PULAU KUPANG","4728"
"58104","PULAU MAMBULAU","4728"
"58105","PULAU NIBUNG","4813"
"58106","PULAU PADANG","4695"
"58107","PULAU PATAI","4697"
"58108","PULAU TELO BARU","4821"
"58109","PULAU TELO","4821"
"58110","PUNDU","4788"
"58111","PURBASARI","4807"
"58112","PURI","4748"
"58113","PURNAMA","4743"
"58114","PURUK BATU","4775"
"58115","PURUK CAHU","4717"
"58116","PURUK KAMBANG","4797"
"58117","PURWODADI","4712"
"58118","PURWOREJO","4759"
"58119","PUTAI","4694"
"58120","PUTAT DUREI","4818"
"58121","PUTUT TAWULUH","4799"
"58122","RABAMBANG","4804"
"58123","RAHADEN","4779"
"58124","RAHUNG BUNGAI","4744"
"58125","RAJA SEBERANG","4745"
"58126","RAJA","4745"
"58127","RAMANG","4772"
"58128","RAMANIA","4695"
"58129","RAMPA MEA","4735"
"58130","RANGAN BAHEKANG","4822"
"58131","RANGAN BURIH","4764"
"58132","RANGAN HIRAN","4792"
"58133","RANGAN KAWIT","4756"
"58134","RANGAN MIHING","4763"
"58135","RANGAN RANJING","4756"
"58136","RANGAN SUREI","4764"
"58137","RANGAN TANGKO","4764"
"58138","RANGAN TATE","4796"
"58139","RANGAU RAYA","4704"
"58140","RANGDA","4745"
"58141","RANGGA ILUNG","4823"
"58142","RANGKANG MUNDUK","4824"
"58143","RANTAU ASEM","4755"
"58144","RANTAU BAHAI","4756"
"58145","RANTAU BAHUANG","4823"
"58146","RANTAU BANGKIANG","4798"
"58147","RANTAU BETUNG","4824"
"58148","RANTAU JAYA","4787"
"58149","RANTAU KATANG","4690"
"58150","RANTAU KUJANG","4823"
"58151","RANTAU PANDAN","4822"
"58152","RANTAU PANJANG","4794"
"58153","RANTAU PUKA","4756"
"58154","RANTAU PULUT","4706"
"58155","RANTAU SAWANG","4690"
"58156","RANTAU SUANG","4690"
"58157","RANTAU TAMPANG","4690"
"58158","RARAWA","4727"
"58159","RASAU TUMBUH","4720"
