"id","nama_desa","kecamatan_id"
"12001","TANJUNG PULO","660"
"12002","TANJUNG PURBA BARU (PURBATUA)","536"
"12003","TANJUNG PURBA","449"
"12004","TANJUNG PUTUS","528"
"12005","TANJUNG PUTUS","584"
"12006","TANJUNG RAJA","450"
"12007","TANJUNG RAPUAN","314"
"12008","TANJUNG REJO","440"
"12009","TANJUNG REJO","411"
"12010","TANJUNG ROKAN","308"
"12011","TANJUNG SALAMAT / SELAMAT","323"
"12012","TANJUNG SALUKSUK","494"
"12013","TANJUNG SARANG ELANG","384"
"12014","TANJUNG SARI (PIRTRANS SOSA IB)","390"
"12015","TANJUNG SARI","473"
"12016","TANJUNG SARI","433"
"12017","TANJUNG SELAMAT","380"
"12018","TANJUNG SELAMAT","691"
"12019","TANJUNG SELAMAT","556"
"12020","TANJUNG SELAMAT","528"
"12021","TANJUNG SELAMAT","411"
"12022","TANJUNG SELAMAT","669"
"12023","TANJUNG SENA","385"
"12024","TANJUNG SERI","609"
"12025","TANJUNG SIALANG","313"
"12026","TANJUNG SIGONI","347"
"12027","TANJUNG SIPORKIS","495"
"12028","TANJUNG TIMUR","450"
"12029","TANJUNG TIRAM (SIRAM)","512"
"12030","TANJUNG TONGAH","712"
"12031","TANJUNG TORAM","305"
"12032","TANJUNG","308"
"12033","TANJUNG","338"
"12034","TANJUNG","365"
"12035","TANJUNG","368"
"12036","TANJUNGAN","402"
"12037","TANJUNGBALAI KOTA I","682"
"12038","TANJUNGBALAI KOTA II","682"
"12039","TANJUNGBALAI KOTA III","698"
"12040","TANJUNGBALAI KOTA IV","698"
"12041","TANJUNGGADING","609"
"12042","TANJUNGMULIA","443"
"12043","TANJUNGMULYA","427"
"12044","TANJUNGTIRAM","443"
"12045","TANO BATO","430"
"12046","TANO BATO","548"
"12047","TANO BATO","350"
"12048","TANO MOKINU","545"
"12049","TANOH / TANO TINGGIR","673"
"12050","TANONIKO\O","439"
"12051","TANOSEO","631"
"12052","TAON MARISI","366"
"12053","TAPAK KUDA","469"
"12054","TAPAK MERIAH","562"
"12055","TAPIAN NAULI I","345"
"12056","TAPIAN NAULI I","391"
"12057","TAPIAN NAULI II","345"
"12058","TAPIAN NAULI II","391"
"12059","TAPIAN NAULI III","345"
"12060","TAPIAN NAULI III","391"
"12061","TAPIAN NAULI IV","391"
"12062","TAPIAN NAULI SAUR MANGGITA","309"
"12063","TAPIAN NAULI","342"
"12064","TAPIAN NAULI","600"
"12065","TAPIAN NAULI","680"
"12066","TAPIAN NAULI","368"
"12067","TAPUS GODANG","332"
"12068","TAPUS JAE","479"
"12069","TAPUS SIPAGABU","332"
"12070","TAPUS","312"
"12071","TARA BINTANG","711"
"12072","TARA BUNGA","656"
"12073","TARAHA","481"
"12074","TARAHOSO","481"
"12075","TARAKHAINI","640"
"12076","TARAPUNG RAYA","493"
"12077","TARATAK NAGODANG","314"
"12078","TAREAN","562"
"12079","TAREWE","569"
"12080","TARLOLA","320"
"12081","TARUTUNG BARU","654"
"12082","TARUTUNG BOLAK","322"
"12083","TARUTUNG BOLAK","607"
"12084","TATENGGER","319"
"12085","TEBING KISARAN","619"
"12086","TEBING LINGGAHARA BARU","496"
"12087","TEBING LINGGAHARA","496"
"12088","TEBING TANJUNG SELAMAT","528"
"12089","TEBING TINGGI LAMA","442"
"12090","TEBING TINGGI PANGKATAN","687"
"12091","TEBING TINGGI","448"
"12092","TEBING TINGGI","338"
"12093","TEBING TINGGI","684"
"12094","TEBING TINGGI","446"
"12095","TEBOLO MELAYU","545"
"12096","TEFAO","705"
"12097","TEGAL REJO","716"
"12098","TEGAL SARI I","695"
"12099","TEGAL SARI II","695"
"12100","TEGAL SARI III","695"
"12101","TEGAL SARI MANDALA I","594"
"12102","TEGAL SARI MANDALA II","594"
