"id","nama_desa","kecamatan_id"
"24001","TRIMULYO","1741"
"24002","TRIMULYO","1692"
"24003","TRIMULYO","1667"
"24004","TRIMURJO","1568"
"24005","TRISINAR","1738"
"24006","TRISNO MAJU","1640"
"24007","TRISNO MULYO","1704"
"24008","TRITUNGGAL MULYA","1564"
"24009","TUGU MULYA","1783"
"24010","TUGU PAPAK","1638"
"24011","TUGU RATU","1627"
"24012","TUGU REJO","1638"
"24013","TUGU SARI","1783"
"24014","TULANG BAWANG","1698"
"24015","TULUNG AGUNG","1686"
"24016","TULUNG ASAHAN","1638"
"24017","TULUNG BALAK","1704"
"24018","TULUNG BALAK","1746"
"24019","TULUNG BAMBAN","1633"
"24020","TULUNG BUYUT","1676"
"24021","TULUNG KANAN","1697"
"24022","TULUNG SARI","1590"
"24023","TULUNG SINGKIP","1685"
"24024","TULUNGPASIK","1762"
"24025","TULUS REJO","1566"
"24026","TUNAS ASRI I","1618"
"24027","TUNAS ASRI","1618"
"24028","TUNAS JAYA","1630"
"24029","TUNGGAL WARGA","1644"
"24030","TUNGGUL PAWENANG","1564"
"24031","TURGAK","1674"
"24032","UJUNG GUNUNG ILIR","1589"
"24033","UJUNG GUNUNG","1589"
"24034","UJUNG","1751"
"24035","ULAK ATA","1746"
"24036","ULAK RENGAS","1764"
"24037","ULOK MANIK","1633"
"24038","ULOK MUKTI","1709"
"24039","ULU KRUI","1648"
"24040","ULU SEMONG","1574"
"24041","UMAN AGUNG MATARAM","1754"
"24042","UMBAR","1770"
"24043","UMBUL BUAH","1670"
"24044","UMBUL LIMUS","1759"
"24045","UMPU BAKTI","1684"
"24046","UMPU KENCANA","1684"
"24047","UNTORO","1568"
"24048","UTAMA JAYA MATARAM","1642"
"24049","VARIA AGUNG","1642"
"24050","WAI LUBUK","1569"
"24051","WAI MILI","1779"
"24052","WAI MULI TIMUR","1629"
"24053","WAI SARI","1623"
"24054","WAI SIDO","1737"
"24055","WAI SIDOMUKTI","1636"
"24056","WALUR","1602"
"24057","WALUR","1604"
"24058","WALUYOJATI","1701"
"24059","WANA","1753"
"24060","WARGA INDAH JAYA","1644"
"24061","WARGA MAKMUR JAYA","1644"
"24062","WARGO / WARGA MULYO","1766"
"24063","WARINGIN JAYA","1610"
"24064","WARINGIN SARI BARAT","1768"
"24065","WARINGINSARI TIMUR","1564"
"24066","WASPADA","1739"
"24067","WATAS","1596"
"24068","WATES SELATAN","1686"
"24069","WATES TIMUR","1686"
"24070","WATES WAY RATAI","1657"
"24071","WATES","1697"
"24072","WATES","1686"
"24073","WATU AGUNG","1573"
"24074","WAWASAN","1641"
"24075","WAY AGUNG","1714"
"24076","WAY ARENG (WAI ARANG)","1762"
"24077","WAY ASAHAN","1678"
"24078","WAY BATANG","1607"
"24079","WAY DADI BARU","1771"
"24080","WAY DADI","1771"
"24081","WAY DENTE","1691"
"24082","WAY EMPULAU ULU","1596"
"24083","WAY GALIH","1692"
"24084","WAY GELAM","1663"
"24085","WAY GELANG","1660"
"24086","WAY GUBAK","1720"
"24087","WAY HALIM PERMAI","1748"
"24088","WAY HALOM","1645"
"24089","WAY HALOM","1628"
"24090","WAY HARONG","1576"
"24091","WAY HARONG","1653"
"24092","WAY HARU","1614"
"24093","WAY HUWI","1646"
"24094","WAY ILAHAN","1575"
"24095","WAY ISEM","1718"
"24096","WAY JAHA","1592"
"24097","WAY JAMBU","1633"
"24098","WAY KALAM","1661"
"24099","WAY KANDIS","1775"
"24100","WAY KEPAYANG","1591"
"24101","WAY KERAP","1638"
"24102","WAY KUNIR","1728"
"24103","WAY LAGA","1720"
"24104","WAY LAYAP","1595"
"24105","WAY LIMAU","1615"
"24106","WAY LIWOK","1620"
"24107","WAY LUNIK","1560"
"24108","WAY LUNIK","1761"
"24109","WAY MANAK","1592"
"24110","WAY MELAN","1580"
"24111","WAY MENCAR","1624"
"24112","WAY MENGAKU","1596"
"24113","WAY NAPAL","1602"
"24114","WAY NARTA","1604"
"24115","WAY NGISOM","1710"
"24116","WAY NGISON","1584"
"24117","WAY NIPAH","1678"
"24118","WAY NUKAK","1587"
"24119","WAY PANAS","1620"
