"id","nama_desa","kecamatan_id"
"56001","MENTAJOI","4577"
"56002","MENTAWIT","4615"
"56003","MENTIBAR","4667"
"56004","MENTONYEK","4539"
"56005","MENTUNAI","4633"
"56006","MENUA PRAMA","4598"
"56007","MENUA SADAP","4575"
"56008","MENUKUNG KOTA","4582"
"56009","MENYABO","4610"
"56010","MENYUMBUNG","4586"
"56011","MERABUAN","4545"
"56012","MERAGUN","4679"
"56013","MERAH ARAI","4635"
"56014","MERAH ATAS","4650"
"56015","MERAHAU PERMAI","4635"
"56016","MERAKAI PANJANG","4668"
"56017","MERAKO JAYA","4577"
"56018","MERANGGAU","4557"
"56019","MERANTI","4530"
"56020","MERAPI","4623"
"56021","MERARAI DUA","4566"
"56022","MERARAI SATU","4566"
"56023","MERAWA","4563"
"56024","MERAYUH","4606"
"56025","MERBANG","4647"
"56026","MEREMPIT BARU","4578"
"56027","MERIMBANG JAYA","4524"
"56028","MERPAK","4571"
"56029","MERPAK","4650"
"56030","MERPATI","4545"
"56031","MERTI GUNA","4535"
"56032","MERTI JAYA","4560"
"56033","MERUBONG","4639"
"56034","META BERSATU","4618"
"56035","MIAU MERAH","4580"
"56036","MOBUI","4670"
"56037","MONDI","4625"
"56038","MONTERADO","4612"
"56039","MORO BETUNG","4530"
"56040","MUAKAN PETINGGI","4593"
"56041","MUARA BARU","4541"
"56042","MUARA GERUNGGANG","4677"
"56043","MUARA JEKAK","4524"
"56044","MUARA TANJUNG","4655"
"56045","MUARA TIGA","4528"
"56046","MUBUNG","4615"
"56047","MUHI BERSATU","4638"
"56048","MUJAN","4626"
"56049","MUKTI JAYA","4557"
"56050","MUKTI RAHARJA","4559"
"56051","MULIA BARU","4665"
"56052","MULIA KERTA","4573"
"56053","MULIA","4617"
"56054","MUNGGU","4526"
"56055","MUNGGUK BANTOK","4535"
"56056","MUNGGUK GELOMBANG","4542"
"56057","MUNGGUK LAWANG","4542"
"56058","MUNGGUK","4623"
"56059","MUNTAI","4631"
"56060","MUUN","4526"
"56061","NANGA ABAI","4635"
"56062","NANGA AMBALAU","4636"
"56063","NANGA ANSAR","4598"
"56064","NANGA AWIN","4544"
"56065","NANGA BAYAN","4593"
"56066","NANGA BELIMBING","4650"
"56067","NANGA BETANGAI","4655"
"56068","NANGA BETUNG","4626"
"56069","NANGA BIABAN","4625"
"56070","NANGA BIANG","4594"
"56071","NANGA BIHE","4577"
"56072","NANGA BOYAN","4626"
"56073","NANGA BUGAU","4593"
"56074","NANGA DANAU","4626"
"56075","NANGA DANAU","4552"
"56076","NANGA DANGKAN I","4597"
"56077","NANGA DEDAI","4578"
"56078","NANGA DUA","4556"
"56079","NANGA ELLA HILIR","4600"
"56080","NANGA EMBALOH","4595"
"56081","NANGA ENGKULUN","4679"
"56082","NANGA JELUNDUNG","4577"
"56083","NANGA JEMAH","4626"
"56084","NANGA JETAK","4578"
"56085","NANGA KALAN","4600"
"56086","NANGA KALIS","4552"
"56087","NANGA KANTUK","4554"
"56088","NANGA KASAI","4618"
"56089","NANGA KAYAN","4579"
"56090","NANGA KEBEBU","4579"
"56091","NANGA KELAMPAI","4547"
"56092","NANGA KELAPAN","4542"
"56093","NANGA KELAWAI","4591"
"56094","NANGA KELIBANG","4556"
"56095","NANGA KEMANGAI","4636"
"56096","NANGA KEMPANGAI","4600"
"56097","NANGA KENEPAI","4652"
"56098","NANGA KEREMOI","4636"
"56099","NANGA KERUAP","4582"
"56100","NANGA KESANGE","4636"
"56101","NANGA KETUNGAU","4521"
"56102","NANGA KIUNGKANG","4679"
"56103","NANGA KOMAN","4679"
"56104","NANGA KOMPI","4618"
"56105","NANGA LAAR","4635"
"56106","NANGA LAUK","4595"
"56107","NANGA LEBANG","4571"
"56108","NANGA LEBANGAN","4552"
"56109","NANGA LEBOYAN","4609"
"56110","NANGA LEMEDAK","4652"
"56111","NANGA LIBAS","4655"
"56112","NANGA LIBAU","4569"
