"id","nama_desa","kecamatan_id"
"62001","LONG TABULO / TEBULO","5086"
"62002","LONG TELENJAU","5119"
"62003","LONG TEMUNYAT / TEMUYAT","5122"
"62004","LONG TENEM","5091"
"62005","LONG TITI","5123"
"62006","LONG TOP","5081"
"62007","LONG TUGUL","5091"
"62008","LONG TUNGU","5119"
"62009","LONG ULI","5086"
"62010","LONG UMUNG","5091"
"62011","LONG URO","5118"
"62012","LONG YIIN / PELAAH","5117"
"62013","LUBAKAN","5089"
"62014","LUBOK BUAT","5089"
"62015","LUBOK MANIS","5099"
"62016","LULU","5085"
"62017","LUSO","5099"
"62018","MA LIBU","5091"
"62019","MAHAK BARU","5081"
"62020","MALINAU HILIR","5096"
"62021","MALINAU HULU","5096"
"62022","MALINAU KOTA","5096"
"62023","MALINAU SEBERANG","5099"
"62024","MAMANIS","5097"
"62025","MAMBULU","5089"
"62026","MAMBURUNGAN TIMUR","5108"
"62027","MAMBURUNGAN","5108"
"62028","MANGKUPADI","5101"
"62029","MANING","5098"
"62030","MANSALONG","5105"
"62031","MANSAPA","5124"
"62032","MANUK BUNGKUL","5089"
"62033","MARA HILIR","5120"
"62034","MARA SATU","5120"
"62035","MARITAM","5083"
"62036","MASPUL","5082"
"62037","MELASU BARU","5085"
"62038","MENDELUTUNG (MENJELUTUNG)","5092"
"62039","MENDUPE / MENDOPU","5098"
"62040","MENTARANG BARU","5110"
"62041","METULANG","5118"
"62042","METUN (LONG METUN I)","5106"
"62043","METUT","5109"
"62044","MUARA PENGEAN","5117"
"62045","NAHA AYA","5119"
"62046","NAHAKRAMO BARU","5109"
"62047","NAINSID","5105"
"62048","NAN SAPAN","5097"
"62049","NANTUKIDAN","5097"
"62050","NAPUTI","5103"
"62051","NAWANG BARU","5122"
"62052","NGAWOL","5097"
"62053","NUNUK TANAH KIBANG","5100"
"62054","NUNUKAN BARAT","5102"
"62055","NUNUKAN SELATAN","5124"
"62056","NUNUKAN TENGAH","5102"
"62057","NUNUKAN TIMUR","5102"
"62058","NUNUKAN UTARA","5102"
"62059","PA AMAI","5090"
"62060","PA API","5091"
"62061","PA BETUNG","5091"
"62062","PA BUTAL","5091"
"62063","PA DALAN","5090"
"62064","PA DELUNG","5091"
"62065","PA IBANG","5090"
"62066","PA INAN","5091"
"62067","PA KABER","5090"
"62068","PA KEBUAN","5091"
"62069","PA KEMUT","5091"
"62070","PA KIDANG","5091"
"62071","PA LEMUMUT","5105"
"62072","PA LIDUNG","5091"
"62073","PA LOO","5105"
"62074","PA LUTUT","5091"
