"id","nama_desa","kecamatan_id"
"74001","HATE BICARA","6242"
"74002","HATEJAWA","6310"
"74003","HATETABAKO","6309"
"74004","HELAITETOR","6311"
"74005","HIDAYAT","6263"
"74006","HIJRAH","6253"
"74007","HINO","6312"
"74008","HOKU HOKU GAM","6249"
"74009","HOKU HOKU KIE (HUKU-HUKU KIE)","6242"
"74010","HOLBOTA","6308"
"74011","IDAMDEHE GAMSUNGI","6242"
"74012","IDAMDEHE","6242"
"74013","IDAMGAMLAMO","6249"
"74014","IGA","6311"
"74015","IGO","6264"
"74016","IGOBULA","6282"
"74017","IMBU IMBU","6269"
"74018","INDARI","6341"
"74019","INDOMUT","6263"
"74020","INDONESIANA","6331"
"74021","INDONG","6256"
"74022","INO JAYA","6255"
"74023","JALAN BARU","6242"
"74024","JAMBULA","6245"
"74025","JANGAILULU","6268"
"74026","JANO","6268"
"74027","JARAJARA","6322"
"74028","JARAOKE","6285"
"74029","JARE (JERE)","6296"
"74030","JATI PERUMNAS","6290"
"74031","JATI","6298"
"74032","JATI","6290"
"74033","JAYA","6244"
"74034","JERE TUA","6296"
"74035","JERE","6243"
"74036","JERET","6342"
"74037","JIBUBU","6271"
"74038","JIKO (JEKO)","6275"
"74039","JIKO MOI","6255"
"74040","JIKOHAI (JIKOHAY)","6262"
"74041","JIKOLAMO","6315"
"74042","JIKOTAMO","6248"
"74043","JOHOR PERDA","6318"
"74044","JOJAME","6336"
"74045","JORJOGA","6247"
"74046","JOUBELA","6246"
"74047","JUANGA","6246"
"74048","KABAU DARAT","6343"
"74049","KABAU PANTAI","6343"
"74050","KABUNU","6294"
"74051","KACEPI","6326"
"74052","KAHATOLA","6268"
"74053","KAI","6277"
"74054","KAILUPA","6264"
"74055","KAIREU","6272"
"74056","KAIYASA","6259"
"74057","KAKARA A","6335"
"74058","KAKARA B","6325"
"74059","KAKARAINO","6309"
"74060","KALAODI","6324"
"74061","KALI UPA","6344"
"74062","KALIPITU","6344"
"74063","KALUMATA","6290"
"74064","KALUMPANG","6334"
"74065","KAMAYA","6294"
"74066","KAMPUNG BARU","6251"
"74067","KAMPUNG BARU","6279"
"74068","KAMPUNG PISANG","6334"
"74069","KAO","6298"
"74070","KAPA KAPA","6264"
"74071","KAPALEO","6326"
"74072","KAPORO","6270"
"74073","KAPUTUSAN (KAPUTUSANG)","6263"
"74074","KARAMAT TITDOY","6345"
"74075","KARAMAT","6278"
"74076","KASIRUTA DALAM","6342"
"74077","KASONG","6297"
"74078","KASTELA","6245"
"74079","KASTURIAN","6258"
"74080","KASUARI","6308"
"74081","KASUBA","6300"
"74082","KATANA","6337"
"74083","KAU / KOU (KOW)","6345"
"74084","KAWADANG","6294"
"74085","KAWALO","6308"
"74086","KAWASI","6248"
"74087","KAWATA","6346"
"74088","KAYU MERAH","6290"
"74089","KEBUN RAJA","6261"
"74090","KEDI","6268"
"74091","KELLO (KELO)","6347"
"74092","KENARI","6295"
"74093","KIDA","6278"
"74094","KIE LEI (KIE ICI)","6251"
"74095","KILO","6276"
"74096","KIOWOR (KYOWOR)","6316"
"74097","KIPAI","6281"
"74098","KIRA","6320"
"74099","KIYA","6323"
"74100","KLUTING JAYA","6250"
"74101","KOBE","6348"
"74102","KOITITI","6287"
"74103","KOKOTA JAYA (KOKOTUA JAYA)","6339"
"74104","KOKOTU","6341"
"74105","KOLI","6283"
"74106","KOLORAY (KOLORAI)","6246"
"74107","KORAGO","6295"
"74108","KOSA","6283"
"74109","KOTA BARU","6334"
"74110","KOTALO","6323"
"74111","KOTALOU","6261"
"74112","KOTUNANG (KUKUTUNANG)","6341"
"74113","KOUBALABALA","6342"
"74114","KRAMAT","6308"
"74115","KUBUNG","6317"
"74116","KUKUMUTUK","6298"
"74117","KUKUPANG (KAKUPANG)","6269"
"74118","KUKUPANG","6338"
"74119","KULABA","6245"
"74120","KULO JAYA","6348"
"74121","KUMO","6335"
"74122","KUNTUM MEKAR","6260"
"74123","KUPA KUPA SELATAN","6325"
"74124","KUPA KUPA","6325"
"74125","KUPAL","6317"
"74126","KURIPASAI","6242"
"74127","KURUNGA","6338"
"74128","KUSU LOFRA","6298"
"74129","KUSU SINOPA","6283"
"74130","KUSU","6298"
"74131","KUSU","6259"
"74132","KUSUBIBI","6341"
"74133","KUSURI","6303"
"74134","KUWO","6333"
"74135","LABA BESAR","6268"
"74136","LABA KECIL","6268"
"74137","LABI LABI","6311"
"74138","LABUHA","6263"
"74139","LAIGOMA","6278"
"74140","LAIWUI","6248"
"74141","LAKO AKEDIRI","6285"
"74142","LAKO AKELAMO","6285"
"74143","LALONGA","6296"
"74144","LALUBI","6261"
"74145","LALUIN","6349"
"74146","LANGGANU","6350"
"74147","LAROMABATI (LOROMABATI)","6254"
"74148","LATA LATA","6269"
"74149","LEDE","6350"
"74150","LEKOKADAI","6318"
"74151","LEKOSULA","6318"
"74152","LELE","6275"
"74153","LELEI","6278"
"74154","LELEOTO","6325"
"74155","LELESENG (LELESANG)","6277"
"74156","LELEWI","6304"
"74157","LELEWI","6301"
"74158","LELILEF SAWAI","6348"
"74159","LELILEF WAIBULEN","6348"
"74160","LELYABA","6318"
"74161","LEMAH INO","6325"
"74162","LEMBAH ASRI","6250"
"74163","LEMO LEMO","6287"
"74164","LEO LEO","6265"
"74165","LIARO","6351"
"74166","LIBANO","6267"
"74167","LIBOBA HIJRAH","6338"
"74168","LIFAO","6312"
"74169","LIFOFA","6340"
"74170","LIGUA","6278"
"74171","LILI","6322"
"74172","LIMAU","6296"
"74173","LIMBO","6308"
"74174","LINA INO","6344"
"74175","LINGGUA","6268"
"74176","LOCE","6249"
"74177","LOHO BUBBA","6308"
"74178","LOLA","6257"
"74179","LOLASITA","6322"
"74180","LOLEBA","6255"
"74181","LOLEO JAYA","6342"
"74182","LOLEO JAYA","6295"
"74183","LOLEO","6267"
"74184","LOLEO","6307"
"74185","LOLEO","6250"
"74186","LOLEOMEKAR","6342"
"74187","LOLEONGUSU","6256"
"74188","LOLOBATA","6309"
"74189","LOLOELAMO","6300"
"74190","LOLOY (LOLORI)","6242"
"74191","LOSSENG","6294"
"74192","LOSUO","6295"
"74193","LOTO","6245"
"74194","LOU MADORO","6265"
"74195","LUARI","6339"
"74196","LUIM","6304"
"74197","MABA SANGAJI (GOTOWASI)","6352"
"74198","MABA","6295"
"74199","MADAPOLO BARAT","6314"
"74200","MADAPOLO TIMUR","6314"
"74201","MADAPOLO","6314"
"74202","MADO","6321"
"74203","MAFFA","6261"
"74204","MAFUTUTU","6324"
"74205","MAHIA (WOSI / WOSIA TENGAH)","6344"
"74206","MAIDI","6340"
"74207","MAILOA","6286"
"74208","MAITARA SELATAN","6244"
"74209","MAITARA","6244"
"74210","MAJIKO TONGONE","6311"
"74211","MAKAELING","6260"
"74212","MAKARTI","6277"
"74213","MAKASAR BARAT","6334"
"74214","MAKASAR TIMUR","6334"
"74215","MAKETE","6320"
"74216","MAKIAN (KAMPUNG MAKIAN)","6317"
"74217","MALAPA","6286"
"74218","MALAPAT","6306"
"74219","MALBUFA","6280"
"74220","MALIARO","6334"
"74221","MALIFORO","6302"
"74222","MAMUYA","6289"
"74223","MAN-GEGA","6280"
"74224","MANAF","6293"
