"id","nama_desa","kecamatan_id"
"6001","TERUTUNG SEPERAI","137"
"6002","TETINGGI","15"
"6003","TETINGI","22"
"6004","TEUBALUI","229"
"6005","TEUBANG PHUI BARO","117"
"6006","TEUBANG PHUI MESJID","117"
"6007","TEUBANG PHUI","20"
"6008","TEUBENG TANJONG","9"
"6009","TEUDAYAH","245"
"6010","TEULADAN","100"
"6011","TEULADAN","287"
"6012","TEUMAREUM","105"
"6013","TEUMAROM","52"
"6014","TEUMEUCET","148"
"6015","TEUMIKET RANOM","51"
"6016","TEUMPEUN","149"
"6017","TEUMPEUN","54"
"6018","TEUNGKU DI BATHON","75"
"6019","TEUNGKU DI LAWEUNG","211"
"6020","TEUNGKU DIBANDA PIRAK","49"
"6021","TEUNGKU DIBANDA TEKTEK","49"
"6022","TEUNGOH BAROH","195"
"6023","TEUNGOH BLANG MEE","208"
"6024","TEUNGOH BLANG","191"
"6025","TEUNGOH DRIEN","12"
"6026","TEUNGOH GEUNTEUT","208"
"6027","TEUNGOH GLUMPANG VII","71"
"6028","TEUNGOH ILOT","148"
"6029","TEUNGOH KUTA BATEE","207"
"6030","TEUNGOH MANGKI","238"
"6031","TEUNGOH MUSA","1"
"6032","TEUNGOH PA","74"
"6033","TEUNGOH PANTEE RAJA","276"
"6034","TEUNGOH PIRAK","71"
"6035","TEUNGOH REUBA","207"
"6036","TEUNGOH SEULEUMAK","71"
"6037","TEUNGOH SUWIEK","191"
"6038","TEUNGOH","101"
"6039","TEUNGOH","209"
"6040","TEUNGOH","110"
"6041","TEUNGOH","12"
"6042","TEUNGOH","80"
"6043","TEUNOM","111"
"6044","TEUPIN ARA","228"
"6045","TEUPIN ARA","34"
"6046","TEUPIN BANJA","262"
"6047","TEUPIN BATEE","244"
"6048","TEUPIN BATEE","67"
"6049","TEUPIN BAYU","84"
"6050","TEUPIN BEULANGAN","228"
"6051","TEUPIN BREUH","55"
"6052","TEUPIN DRUM","62"
"6053","TEUPIN GAJAH","278"
"6054","TEUPIN GAJAH","84"
"6055","TEUPIN GAPEUH","31"
"6056","TEUPIN JEUE","97"
"6057","TEUPIN JOK","57"
"6058","TEUPIN KEUBEU","6"
"6059","TEUPIN KEUBUE","71"
"6060","TEUPIN KEUPULA","98"
"6061","TEUPIN KUYUN","43"
"6062","TEUPIN MAMPLAM","55"
"6063","TEUPIN MANEE","3"
"6064","TEUPIN PANAH","100"
"6065","TEUPIN PANAH","192"
"6066","TEUPIN PEURAHO","39"
"6067","TEUPIN PEURAHO","226"
"6068","TEUPIN PUKAT","114"
"6069","TEUPIN RAYA","97"
"6070","TEUPIN RAYA","61"
"6071","TEUPIN RAYA","78"
"6072","TEUPIN REUDEUP","235"
"6073","TEUPIN RUSEP / REUSEP","7"
"6074","TEUPIN SIRON","103"
"6075","TEUPIN U","58"
"6076","TEUPOK BAROH","8"
"6077","TEUPOK TUNONG","8"
"6078","TEUREUBEH","173"
"6079","TGK DIBALE","74"
"6080","TIBA RAYA","33"
"6081","TIBANG","9"
"6082","TIBANG","106"
"6083","TIJIN DABOH","93"
"6084","TIJIN HUSEN","93"
"6085","TIJUE","9"
"6086","TIM PLEUNG","88"
"6087","TIMANG GAJAH","26"
"6088","TIMANG KHASE","119"
"6089","TIMANG RASA","168"
"6090","TIMANG RASA","202"
"6091","TIMANGAN GADING","247"
"6092","TIMBANG LANGSA","66"
"6093","TIMUR JAYA","174"
"6094","TINGKEM ASLI","179"
"6095","TINGKEM BENYER","179"
"6096","TINGKEM BERSATU","179"
"6097","TINGKEM","24"
"6098","TINGKEUM BARO","175"
"6099","TINGKEUM MANYANG","175"
"6100","TINGKEUM PANYANG","52"
"6101","TINGKEUM","218"
"6102","TINGKEUM","50"
"6103","TIRMI ARA","158"
"6104","TITAI HAKHAPEN","28"
"6105","TITI BARO","67"
"6106","TITI BARUEH / BAROEH","55"
"6107","TITI MAS","28"
"6108","TITI PASIR","280"
"6109","TITI POBEN","121"
"6110","TJ. TEUNGKU KARI","71"
"6111","TOKOH","110"
"6112","TONG PRIA","33"
"6113","TONG WENG","33"
"6114","TOWEREN ANTARA","163"
"6115","TOWEREN TOA","163"
"6116","TOWEREN UKEN","163"
"6117","TRANS BARU","132"
"6118","TRANS JERNGE","132"
"6119","TRANS MARANTI","132"
"6120","TRIENG CUDO BAROH","242"
"6121","TRIENG CUDO TUNONG","242"
"6122","TRIENG GADENG","62"
"6123","TRIENG KRUENG KREH","58"
"6124","TRIENG LHOKSUKON SELATAN","65"
"6125","TRIENG MATANG UBI","6"
"6126","TRIENG MEUDURO BAROH","237"
"6127","TRIENG MEUDURO TUNONG","237"
"6128","TRIENG MEUDUROU","29"
"6129","TRIENG PANTANG","6"
"6130","TRIENG TEUPIN KEUBUE","71"
"6131","TRIENG","12"
"6132","TRIENG","74"
"6133","TRIENGGADENG","70"
"6134","TU","276"
"6135","TUAH MESADE","28"
"6136","TUALADA","1"
"6137","TUALANG BARU","122"
"6138","TUALANG BARU","85"
"6139","TUALANG DALAM","282"
"6140","TUALANG LAMA","224"
"6141","TUALANG PATENG","53"
"6142","TUALANG SEMBILAR","137"
"6143","TUALANG TEUNGOH","48"
"6144","TUALANG TUHA","6"
"6145","TUALANG","207"
"6146","TUALANG","68"
"6147","TUALANG","183"
"6148","TUALANG","154"
"6149","TUALANG","18"
"6150","TUFAH JEULATANG","138"
"6151","TUFAH","98"
"6152","TUGAN","258"
"6153","TUH TUHAN","258"
"6154","TUHA BIHEUE","211"
"6155","TUHA GOGO","12"
"6156","TUHA KP / GP GAJAH","190"
"6157","TUHA LALA","148"
"6158","TUHA SUWIEK","191"
"6159","TUHA","97"
"6160","TUHA","12"
"6161","TUHA","251"
"6162","TUHI JONGKAT","28"
"6163","TULAAN","243"
"6164","TUMBO BARO","245"
"6165","TUMPEUN (GAMPONG TUMPEUN)","29"
"6166","TUMPOK 40","9"
"6167","TUMPOK ACEH","74"
"6168","TUMPOK BARAT","71"
"6169","TUMPOK BEURANDANG","262"
"6170","TUMPOK LADANG","100"
"6171","TUMPOK LAMPOH","150"
"6172","TUMPOK LAWEUNG","9"
"6173","TUMPOK MESJID","49"
"6174","TUMPOK PERLAK","71"
"6175","TUMPOK TEUNGKU","207"
"6176","TUMPOK TEUNGOH","199"
"6177","TUMPOK TEUNGOH","60"
"6178","TUMPOK TEUNGOH","61"
"6179","TUNAS HARAPAN","243"
"6180","TUNAS MUDE","23"
"6181","TUNGEL BARU","136"
"6182","TUNGEL","136"
"6183","TUNGKLUET (TUNG KLEUT)","251"
"6184","TUNGKOP CUT","191"
"6185","TUNGKOP","142"
"6186","TUNGKOP","266"
"6187","TUNONG BUGENG","115"
"6188","TUNONG KRUENG KALA","208"
"6189","TUNONG KRUENG","49"
"6190","TUNONG PANTEE RAJA","276"
"6191","TUNONG PAYA KRUEP","115"
"6192","TUNONG ULEE GAJAH","115"
"6193","TUNONG","101"
"6194","TUNONG","250"
"6195","TUNONG","161"
"6196","TUNONG","148"
"6197","TUNONG","12"
"6198","TUNYANG","202"
"6199","TURAM","229"
"6200","TURUE CUT","236"
"6201","TUTONG (MEUNASAH TUTONG)","74"
"6202","TUTONG","1"
"6203","TUTONG","210"
"6204","TUTONG","71"
"6205","TUTUI / TUTUE","189"
"6206","TUTUT","266"
"6207","TUWI BUNTA","176"
"6208","TUWI BUYA","47"
"6209","TUWI BUYA","146"
"6210","TUWI EMPEUK","32"
"6211","TUWI EMPEUK","51"
"6212","TUWI KAREUNG I","88"
"6213","TUWI KAREUNG PANGA","32"
"6214","TUWI KAYEE","32"
"6215","TUWI MEULEUSONG","233"
"6216","TUWI PERYA","88"
"6217","TUWI SAYA","266"
"6218","U BARO (MEUNASAH U BARO)","65"
"6219","U BUNGKOK (U BANGKOK)","193"
"6220","U GADENG","161"
"6221","UBIT PAYA ITEK","207"
"6222","UDE GAMPONG","138"
"6223","UDE","71"
"6224","UDEUNG","1"
"6225","UJONG BAROH B.","74"
"6226","UJONG BAROH SB","74"
"6227","UJONG BAROH","234"
"6228","UJONG BAROH","238"
"6229","UJONG BAYU","103"
"6230","UJONG BEUSA","39"
"6231","UJONG BLANG MESJID","194"
"6232","UJONG BLANG","199"
"6233","UJONG BLANG","176"
"6234","UJONG BLANG","194"
"6235","UJONG BLANG","150"
"6236","UJONG BLANG","175"
"6237","UJONG DAMA","35"
"6238","UJONG DRIEN","196"
"6239","UJONG FATIHAH","82"
"6240","UJONG GAMPONG","238"
"6241","UJONG KAREUNG (KAREUENG)","144"
"6242","UJONG KEUPULA","76"
"6243","UJONG KRUENG","177"
"6244","UJONG KULAM","71"
"6245","UJONG LAMIE","47"
"6246","UJONG LANGGO","9"
"6247","UJONG LEUBAT","1"
"6248","UJONG MESJID LAMPANAH","76"
"6249","UJONG MESJID T. ABEE","76"
"6250","UJONG MULOH","105"
"6251","UJONG NGA","112"
"6252","UJONG PACU","215"
"6253","UJONG PADANG","82"
"6254","UJONG PASI","82"
"6255","UJONG PIE","211"
"6256","UJONG RAJA","146"
"6257","UJONG REUBA","207"
"6258","UJONG RIMBA","72"
