"id","nama_desa","kecamatan_id"
"76001","GUARI (GIARI / GUARE)","6526"
"76002","GUAWAGE","6491"
"76003","GUBAGI","6362"
"76004","GUBO (NOBO)","6526"
"76005","GUBUGANI","6460"
"76006","GUBUK","6574"
"76007","GUBULOME","6363"
"76008","GUBUME","6428"
"76009","GUBUNERI","6428"
"76010","GUBUPUR","6389"
"76011","GUBURA","6374"
"76012","GUBURINI","6656"
"76013","GUBURNI","6672"
"76014","GUERI","6459"
"76015","GUKOPI (GUKOP)","6577"
"76016","GULAK","6626"
"76017","GULAK","6754"
"76018","GULAMA","6371"
"76019","GULAREM","6634"
"76020","GUMAWI","6363"
"76021","GUMBINI","6574"
"76022","GUMBRU","6600"
"76023","GUME KUPARI","6755"
"76024","GUME","6505"
"76025","GUNA","6428"
"76026","GUNALO","6754"
"76027","GUNEA (GUNIA)","6499"
"76028","GUNIKI","6598"
"76029","GUNINGGAME","6664"
"76030","GUNOMBO","6455"
"76031","GUNUNG TAYOK","6460"
"76032","GURABESI","6502"
"76033","GURIKA","6664"
"76034","GURIKAGEWA","6470"
"76035","GURIKME","6470"
"76036","GURIN","6746"
"76037","GURINDA JAYA","6496"
"76038","GURIYAD (GURYARD)","6628"
"76039","GURUMBE","6700"
"76040","GWAK DUGUNIK","6458"
"76041","GWENGGU","6389"
"76042","GWIN JAYA","6756"
"76043","HABAG","6632"
"76044","HABALO","6438"
"76045","HABEMA","6579"
"76046","HABIYEAMBUT","6443"
"76047","HAFFO","6366"
"76048","HAGAWEN","6741"
"76049","HAHARE","6407"
"76050","HAIHOREI","6400"
"76051","HAINAM","6623"
"76052","HAIYA (HAYA)","6616"
"76053","HAIYA","6697"
"76054","HAKU","6693"
"76055","HALEROMA","6551"
"76056","HALETUK","6683"
"76057","HALIALO","6457"
"76058","HALISEK","6354"
"76059","HALISEK","6457"
"76060","HAMADI","6524"
"76061","HAMIK","6599"
"76062","HAMKHU","6610"
"76063","HAMONGKRANG","6630"
"76064","HAMUHI","6373"
"76065","HANGGAIY HAMONG","6633"
"76066","HANOASUOK","6741"
"76067","HARAP","6515"
"76068","HARAPAN JAYA","6399"
"76069","HARAPAN MAKMUR","6757"
"76070","HARAPAN","6478"
"76071","HARAPAN","6758"
"76072","HARAPAN","6732"
"76073","HARITI","6540"
"76074","HAROME","6698"
"76075","HATIB","6678"
"76076","HEAHOBAK","6354"
"76077","HEALEKMA","6759"
"76078","HEATNEM","6431"
"76079","HEBERIMA","6410"
"76080","HEDAM","6760"
"76081","HEIN","6665"
"76082","HEIYARAM","6407"
"76083","HELABU","6443"
"76084","HELAKSILI","6354"
"76085","HELALUWA","6550"
"76086","HELAPILIK","6761"
"76087","HELEBOL","6457"
"76088","HELEFA  /  HALEFA","6549"
"76089","HELEPALEGEM","6762"
"76090","HELLO","6610"
"76091","HELO","6432"
"76092","HEMUKA","6548"
"76093","HENDAG","6763"
"76094","HENDIKMA","6683"
"76095","HEPIA","6741"
"76096","HEPINIS","6764"
"76097","HERAEWA","6742"
"76098","HERAWE","6763"
"76099","HEREAPINI (HERIAPINI)","6765"
"76100","HEREKI (HEREKY)","6766"
"76101","HESATOM","6550"
"76102","HESMAT","6443"
"76103","HESMAT","6412"
"76104","HESMAT","6741"
"76105","HIDUP BARU","6480"
"76106","HIGISYAM","6767"
"76107","HIHUNDES","6412"
"76108","HIKINAT (IKINAT)","6408"
"76109","HIKLAHIN","6761"
"76110","HILARIKI","6457"
"76111","HILIPUK","6716"
"76112","HIMI","6469"
"76113","HINDALIMUKUK","6457"
"76114","HINEKOMBE","6718"
"76115","HINONGKOAMBUT","6438"
"76116","HIPADIPA (HITADIPA)","6493"
"76117","HIPELA","6432"
"76118","HIRIN","6551"
"76119","HIRIPAU","6768"
"76120","HITADIPA","6703"
"76121","HITELOWA","6431"
"76122","HITIGIMA","6410"
"76123","HITUMA (HETUMA)","6722"
"76124","HIYABU","6388"
"76125","HOBAKMA","6443"
"76126","HOBONG","6718"
"76127","HOBUT","6457"
"76128","HOET","6765"
"76129","HOGIO DUA  /  II","6729"
"76130","HOGIO SATU  /  I","6729"
"76131","HOHE","6769"
"76132","HOKOLEKMA","6740"
"76133","HOLALIBA","6579"
"76134","HOLANDIA","6423"
"76135","HOLANI","6443"
"76136","HOLASILI","6519"
"76137","HOLDOMEN","6548"
"76138","HOLIK","6438"
"76139","HOLIMA","6759"
"76140","HOLIMA","6735"
"76141","HOLKIMA","6549"
"76142","HOLMAFEN (HOLMAFEM)","6585"
"76143","HOLOWI","6457"
"76144","HOLTEKAMP","6770"
"76145","HOLUAOGALMA","6438"
"76146","HOLUOKALEM","6438"
"76147","HOLUWON (HOLUON)","6646"
"76148","HOM-HOM","6722"
"76149","HOM-HOM","6418"
"76150","HOMANG","6366"
"76151","HOMASAM","6767"
"76152","HOMBANMAN","6354"
"76153","HOMBESALOMA","6435"
"76154","HOMBOKI","6765"
"76155","HOMBUKA","6771"
"76156","HOMHOM","6694"
"76157","HOMIDIPMU","6716"
"76158","HOMILIKIA (HOMLIKYA)","6552"
"76159","HOMTONGO","6647"
"76160","HONAIMA","6566"
"76161","HONELAMA DUA","6566"
"76162","HONELAMA","6566"
"76163","HONGGOLUK","6772"
"76164","HONITA","6443"
"76165","HONKUDING","6567"
"76166","HONTULUN","6772"
"76167","HONYA","6693"
"76168","HOPAMA","6375"
"76169","HORAKIA","6354"
"76170","HORENIKMA","6354"
"76171","HOROMON","6548"
"76172","HOYA","6543"
"76173","HUBIK","6599"
"76174","HUBIKOSI","6773"
"76175","HUBLIKI","6354"
"76176","HUBLIKI","6438"
"76177","HUBUKIAK  /  HUBIKIAK","6722"
"76178","HUEWI","6432"
"76179","HUGILOKON","6551"
"76180","HUGITAPA  /  HUBITAPA","6388"
"76181","HUGLOT","6412"
"76182","HUGUMA","6412"
"76183","HUHULPUNU","6761"
"76184","HUKALOPUNU","6438"
"76185","HUKEN","6412"
"76186","HUKULIMO","6410"
"76187","HUKURAGI","6549"
"76188","HULAM","6418"
"76189","HULAPUGA","6705"
"76190","HULEKAMA  /  HUREKAMA","6566"
"76191","HULESI","6763"
"76192","HULHULE","6354"
"76193","HULIKMA","6354"
"76194","HULU ATAS","6564"
"76195","HULUAGAIMA","6412"
"76196","HULUAIMA","6663"
"76197","HUMALEN","6438"
"76198","HUMALMA","6354"
"76199","HUMBE AWAI","6774"
"76200","HUNDILIP","6354"
"76201","HUNENIMA","6763"
"76202","HUNISI","6673"
"76203","HURUALMA","6354"
"76204","HUSEWA","6742"
"76205","HUSMO","6736"
"76206","HUSOAK","6722"
"76207","HWEALOMA","6583"
"76208","HWESALEMO","6547"
"76209","IBELE","6579"
"76210","IBIROMA","6412"
"76211","IBOT","6425"
"76212","IBUB","6678"
"76213","IBUMAIDA (IBOMOMAIDA)","6570"
"76214","IBUNUH","6738"
"76215","IDADAGI","6658"
"76216","IDAKEBO","6731"
"76217","IDAKOTU","6685"
"76218","IDEDUWA","6520"
"76219","IFALE (ILFELE)","6718"
"76220","IFAR BESAR","6718"
"76221","IFIA-FIA (ARSO 11)","6537"
"76222","IFKINDI","6438"
"76223","IGARI","6586"
"76224","IHALIK","6775"
"76225","IKCAN","6776"
"76226","IKEBO (MOANEMANI)","6685"
"76227","IKILUMO","6773"
"76228","IKMU","6655"
"76229","IKON","6469"
"76230","IKRAR","6731"
"76231","ILAGA","6543"
"76232","ILAMBURAWI","6477"
"76233","ILLION","6771"
"76234","ILOKAMA","6386"
"76235","ILOKOMO","6763"
"76236","ILUGWA","6702"
"76237","ILUKDAMON","6655"
"76238","ILUNGGUME (ILUNGGAME / ILUNGGIME)","6734"
"76239","ILUSIMO (ILUSILIMO)","6702"
"76240","ILWAP","6769"
"76241","IMA","6391"
"76242","IMANDOA","6483"
"76243","IMBARI","6450"
"76244","IMBI","6502"
"76245","IMBORIAWA","6380"
"76246","IMBRISBARI (IMBIRSBARI)","6542"
"76247","IMDE","6613"
"76248","IMEMBI","6453"
"76249","IMESTUM (IMUSTUM)","6633"
"76250","IMIK","6531"
"76251","IMIRYI","6433"
"76252","IMKO","6490"
"76253","IMSAR","6631"
"76254","IMSEKLA","6665"
"76255","IMSIN","6635"
"76256","IMULINERI","6437"
"76257","IMURIK","6484"
"76258","INANEKELOK","6431"
"76259","INAOGA (INAUGA)","6758"
"76260","INDAIBORI","6545"
"76261","INDAWA","6672"
"76262","INDAWI","6554"
"76263","INDIGU (INDUGU)","6672"
"76264","INEKI","6542"
"76265","INGGEMBIT (ENGGEMBIT)","6776"
"76266","INGGIRI","6497"
"76267","INGGUPI","6497"
"76268","INIKIMALUK","6389"
"76269","ININKWANING","6603"
"76270","INIYE","6596"
"76271","INJUTA","6649"
"76272","INMDI","6382"
"76273","INOFI","6382"
"76274","INOWA","6508"
"76275","INPENDI","6381"
"76276","INSIRI","6474"
"76277","INSROM","6497"
"76278","INSUMAMIRES (INSUMARIRES)","6382"
"76279","INSUMBREI","6542"
"76280","INSUSBARI","6489"
"76281","INSWANBESI SUP","6450"
"76282","INSWANBESI","6450"
"76283","INTAIMELYAN (INTAIMILYAN)","6538"
"76284","INYEBOMI (INBEYOMI)","6561"
"76285","INYOBI","6450"
"76286","IPAKIYE","6404"
"76287","IPAWA (IPUWA)","6570"
"76288","IPOUWA","6661"
"76289","IRAREK","6457"
"76290","IRATOI","6727"
"76291","IRIDING","6365"
"76292","IRILINGA  /  IRILINGGA (IRILINGAN)","6580"
"76293","IROMORO","6606"
"76294","ISAGE","6366"
"76295","ISAIMAN","6376"
"76296","ISAKUSA","6773"
"76297","ISAN DOGA","6493"
"76298","ISANDOGA PEMDA","6705"
"76299","ISANOMBIAS","6480"
"76300","ISAR","6377"
"76301","ISAWA HIMAN","6777"
"76302","ISIKLAK","6707"
"76303","ISILA","6443"
"76304","ISON","6551"
"76305","ISUGUNIK","6431"
"76306","ISYAMAN","6584"
"76307","ITLAY HALITOPO","6778"
"76308","ITLAY WOPI","6763"
"76309","ITOLI","6651"
"76310","IVI MAHAD","6757"
"76311","IWAKA","6636"
"76312","IWIGIMA","6410"
"76313","IWIM","6354"
"76314","IWOL","6429"
"76315","IWON","6609"
"76316","IWUR","6717"
"76317","IYANTIK","6375"
"76318","IYAP","6469"
"76319","IYARO","6779"
