id,desa_id,kecamatan_id,kota_id,provinsi_id,kode_pos
30001,29991,2203,175,12,43268
30002,29992,2209,169,12,41283
30003,29993,2480,168,12,46253
30004,29994,2549,159,12,41358
30005,29995,2546,175,12,43273
30006,29996,2430,162,12,43167
30007,29997,2495,173,12,44192
30008,29998,2373,166,12,45581
30009,29999,2376,161,12,40383
30010,30000,1965,170,12,41162
30011,30001,2028,166,12,45573
30012,30002,2382,175,12,43264
30013,30003,2113,163,12,45366
30014,30004,2317,173,12,44185
30015,30005,2373,166,12,45581
30016,30006,2222,174,12,46384
30017,30007,2043,165,12,45474
30018,30008,2259,165,12,45475
30019,30009,2387,163,12,45364
30020,30010,2016,171,12,16370
30021,30011,2016,171,12,16370
30022,30012,2313,167,12,46185
30023,30013,2385,177,12,40562
30024,30014,2220,164,12,45218
30025,30015,2046,171,12,16830
30026,30016,2378,173,12,44173
30027,30017,2494,164,12,45284
30028,30018,2401,167,12,46411
30029,30019,2220,164,12,45218
30030,30020,2046,171,12,16830
30031,30021,2401,167,12,46412
30032,30022,2110,167,12,46474
30033,30023,2023,165,12,45472
30034,30024,2319,167,12,46195
30035,30025,2290,166,12,45555
30036,30026,2353,166,12,45559
30037,30027,2562,167,12,46196
30038,30028,2037,171,12,16670
30039,30029,2438,171,12,16660
30040,30030,2247,169,12,41284
30041,30031,2181,173,12,44175
30042,30032,1958,168,12,46254
30043,30033,2542,160,12,45151
30044,30034,2561,159,12,41361
30045,30035,2515,167,12,46187
30046,30036,2084,173,12,44162
30047,30037,2364,167,12,46463
30048,30038,2334,175,12,43285
30049,30039,2212,177,12,40558
30050,30040,2117,177,12,40564
30051,30041,2051,173,12,44163
30052,30042,2517,167,12,46151
30053,30043,2046,171,12,16830
30054,30044,2505,175,12,43272
30055,30045,2560,171,12,16610
30056,30046,2316,172,12,17340
30057,30047,2051,173,12,44163
30058,30048,2252,177,12,40565
30059,30049,2477,167,12,46198
30060,30050,2126,173,12,44161
30061,30051,1958,168,12,46254
30062,30052,2435,172,12,17330
30063,30053,2307,171,12,16830
30064,30054,2523,167,12,46183
30065,30055,2215,175,12,43267
30066,30056,2442,173,12,44151
30067,30057,2101,162,12,43362
30068,30058,2440,170,12,41163
30069,30059,2506,163,12,45321
30070,30060,2364,167,12,46463
30071,30061,2364,167,12,46463
30072,30062,2212,177,12,40558
30073,30063,2405,162,12,43365
30074,30064,1966,171,12,16840
30075,30065,2281,162,12,43366
30076,30066,2324,162,12,43156
30077,30067,2086,163,12,45376
30078,30068,2546,175,12,43273
30079,30069,2106,162,12,43173
30080,30070,2453,173,12,44161
30081,30071,2534,167,12,46465
30082,30072,2261,162,12,43179
30083,30073,1966,171,12,16840
30084,30074,2041,160,12,45156
30085,30075,2337,171,12,16370
30086,30076,2058,171,12,16115
30087,30077,2289,171,12,16630
30088,30078,2289,171,12,16630
30089,30079,2245,170,12,41115
30090,30080,2506,163,12,45323
30091,30081,2054,176,12,46314
30092,30082,2056,159,12,41374
30093,30083,2449,173,12,44182
30094,30084,2075,166,12,45586
30095,30085,2253,175,12,43266
30096,30086,2449,173,12,44182
30097,30087,2199,168,12,46387
30098,30088,2377,163,12,45363
30099,30089,2430,162,12,43169
30100,30090,1948,163,12,45371
30101,30091,2049,164,12,45264
30102,30092,1948,163,12,45371
30103,30093,2311,161,12,40234
30104,30094,2449,173,12,44182
30105,30095,2051,173,12,44163
30106,30096,2040,166,12,45562
30107,30097,2139,169,12,41271
30108,30098,2449,173,12,44182
30109,30099,2385,177,12,40562
30110,30100,2071,160,12,45156
30111,30101,2497,164,12,45281
30112,30102,2497,164,12,45281
30113,30103,2143,160,12,45164
30114,30104,2497,164,12,45281
30115,30105,2497,164,12,45281
30116,30106,2410,167,12,46473
30117,30107,2238,164,12,45254
30118,30108,2368,169,12,41215
30119,30109,2196,161,12,40376
30120,30110,2563,159,12,41355
30121,30111,2024,175,12,43214
30122,30112,2064,175,12,43261
30123,30113,2451,161,12,40911
30124,30114,2494,164,12,45284
30125,30115,2521,172,12,17510
30126,30116,2521,172,12,17510
30127,30117,2226,159,12,41357
30128,30118,2226,159,12,41357
30129,30119,2521,172,12,17510
30130,30120,2521,172,12,17510
30131,30121,2388,161,12,40396
30132,30122,2510,162,12,43121
30133,30123,2292,171,12,16110
30134,30124,2075,166,12,45586
30135,30125,2426,162,12,43116
30136,30126,2449,173,12,44182
30137,30127,2060,160,12,45173
30138,30128,2449,173,12,44182
30139,30129,2545,162,12,43151
30140,30130,2122,162,12,43161
30141,30131,2553,173,12,44184
30142,30132,2322,161,12,40384
30143,30133,2497,164,12,45281
30144,30134,2055,164,12,45285
30145,30135,2055,164,12,45285
30146,30136,2445,166,12,45592
30147,30137,2343,161,12,40972
30148,30138,1991,161,12,40231
30149,30139,2078,172,12,17630
30150,30140,2556,167,12,46461
30151,30141,2562,167,12,46196
30152,30142,2401,167,12,46415
30153,30143,2045,175,12,43274
30154,30144,2410,167,12,46473
