id,desa_id,kecamatan_id,kota_id,provinsi_id,kode_pos
34001,33991,3095,187,13,53175
34002,33992,2584,189,13,52194
34003,33993,2578,186,13,52273
34004,33994,2903,190,13,54183
34005,33995,3095,187,13,53175
34006,33996,2797,183,13,51252
34007,33997,2605,190,13,54264
34008,33998,2605,190,13,54264
34009,33999,3008,204,13,57254
34010,34000,2579,187,13,53172
34011,34001,2969,197,13,58166
34012,34002,3127,184,13,53474
34013,34003,2899,188,13,56364
34014,34004,3020,198,13,50253
34015,34005,2770,186,13,52219
34016,34006,2592,193,13,57762
34017,34007,2904,188,13,56374
34018,34008,2624,190,13,54172
34019,34009,2624,190,13,54172
34020,34010,2678,189,13,52464
34021,34011,2939,190,13,54261
34022,34012,2669,202,13,59332
34023,34012,3123,198,13,50229
34024,34014,2762,182,13,53263
34025,34015,2893,180,13,54381
34026,34016,2796,184,13,53473
34027,34017,3084,207,13,51353
34028,34018,3026,197,13,58114
34029,34019,2883,198,13,50519
34030,34020,2973,204,13,57274
34031,34021,3080,203,13,56282
34032,34022,2991,192,13,57563
34033,34023,3128,186,13,52262
34034,34024,2864,183,13,51255
34035,34025,2939,190,13,54261
34036,34026,2679,189,13,52461
34037,34027,2958,180,13,54352
34038,34028,2903,190,13,54183
34039,34029,2606,185,13,58219
34040,34030,2812,181,13,56483
34041,34031,2906,194,13,51152
34042,34032,2701,208,13,57133
34043,34033,2803,182,13,53281
34044,34034,2774,180,13,54366
34045,34035,3012,187,13,53196
34046,34036,2696,205,13,59453
34047,34037,2717,179,13,53319
34048,34038,2830,204,13,57256
34049,34039,2598,195,13,52363
34050,34040,2622,198,13,50661
34051,34041,2683,203,13,56281
34052,34042,3026,197,13,58114
34053,34043,3036,202,13,59353
34054,34044,2725,194,13,51149
34055,34045,3120,197,13,58154
34056,34046,2947,194,13,51163
34057,34047,3110,184,13,53461
34058,34048,2666,183,13,51261
34059,34049,3129,187,13,53193
34060,34050,3038,198,13,50222
34061,34051,3084,207,13,51353
34062,34052,2744,199,13,59567
34063,34053,2745,181,13,56194
34064,34054,2813,201,13,57483
34065,34055,2767,188,13,56371
34066,34056,2871,190,13,54262
34067,34057,2828,181,13,56193
34068,34058,2699,185,13,58315
34069,34059,2826,181,13,56481
34070,34060,2904,188,13,56374
34071,34061,2800,194,13,51183
34072,34062,2969,197,13,58166
34073,34063,2963,201,13,57474
34074,34064,2641,191,13,59173
34075,34065,2591,192,13,57562
34076,34066,2685,204,13,57263
34077,34067,2621,197,13,58172
34078,34068,2623,184,13,53458
34079,34069,3074,189,13,52472
34080,34070,3027,204,13,57283
34081,34071,2921,188,13,56365
34082,34072,2956,198,13,50149
34083,34073,2778,194,13,51182
34084,34074,3048,196,13,57331
34085,34075,2912,187,13,53144
34086,34076,3061,204,13,57282
34087,34077,2926,179,13,53352
34088,34078,2813,201,13,57483
34089,34079,2760,193,13,57791
34090,34080,2900,204,13,57292
34091,34081,2912,187,13,53142
