id,desa_id,kecamatan_id,kota_id,provinsi_id,kode_pos
36001,35991,2790,199,13,59581
36002,35992,3079,208,13,57127
36003,35993,2970,196,13,57322
36004,35994,2740,203,13,56252
36005,35995,2572,183,13,51273
36006,35996,2627,200,13,59252
36007,35997,2643,185,13,58253
36008,35998,2614,189,13,52473
36009,35999,2799,203,13,56253
36010,36000,3085,200,13,59219
36011,36001,2621,197,13,58172
36012,36002,3009,207,13,51355
36013,36003,2836,203,13,56256
36014,36004,2922,199,13,59552
36015,36005,3135,207,13,51372
36016,36006,3114,205,13,59452
36017,36007,2967,199,13,59571
36018,36008,2692,203,13,56265
36019,36009,2692,203,13,56265
36020,36010,2739,201,13,57481
36021,36011,2744,199,13,59567
36022,36012,2667,192,13,57513
36023,36013,2812,181,13,56483
36024,36014,2682,190,13,54112
36025,36015,2716,200,13,59265
36026,36016,2926,179,13,53352
36027,36017,2698,180,13,54395
36028,36018,2988,194,13,51155
36029,36019,2630,180,13,54393
36030,36020,2960,201,13,57472
36031,36021,2967,199,13,59571
36032,36022,2969,197,13,58166
36033,36023,3048,196,13,57331
36034,36024,3063,189,13,52117
36035,36025,2706,196,13,57316
36036,36026,2607,188,13,56351
36037,36027,2682,190,13,54119
36038,36028,2833,203,13,56228
36039,36029,2816,190,13,54181
36040,36030,2844,198,13,50249
36041,36031,2625,182,13,53282
36042,36032,2625,182,13,53282
36043,36033,3123,198,13,50229
36044,36034,3087,198,13,50197
36045,36035,2751,198,13,50111
36046,36036,2649,191,13,59163
36047,36037,2568,180,13,54317
36048,36038,3002,182,13,53254
36049,36039,2568,180,13,54317
36050,36040,2895,192,13,57528
36051,36041,3031,182,13,53262
36052,36042,2905,182,13,53257
36053,36043,2905,182,13,53257
36054,36044,2724,205,13,59431
36055,36045,3118,189,13,52462
36056,36046,2932,191,13,59119
36057,36047,2782,195,13,52313
36058,36048,2699,185,13,58315
36059,36049,2754,199,13,59517
36060,36050,2981,194,13,51162
36061,36051,3050,194,13,51151
36062,36052,2980,207,13,51363
36063,36053,2656,180,13,54394
36064,36054,2632,195,13,52365
36065,36055,2851,189,13,52466
36066,36056,2708,203,13,56283
36067,36057,2651,198,13,50777
36068,36058,2910,198,13,50552
36069,36059,3134,186,13,52254
36070,36060,2882,201,13,57482
36071,36061,2828,181,13,56193
36072,36062,2809,203,13,56257
36073,36063,2828,181,13,56193
36074,36064,2585,190,13,54265
36075,36065,2576,181,13,56153
36076,36066,2792,203,13,56255
36077,36067,2603,180,13,54382
36078,36068,2628,201,13,57464
36079,36069,2604,196,13,57384
36080,36070,3013,193,13,57716
36081,36071,2596,181,13,56512
36082,36072,2968,188,13,56372
36083,36073,2833,203,13,56225
36084,36074,3022,179,13,53361
36085,36075,2637,189,13,52181
36086,36076,2673,179,13,53381
36087,36077,2570,181,13,56411
36088,36078,2809,203,13,56257
36089,36079,2662,185,13,58255
36090,36080,2856,201,13,57455
36091,36081,2847,205,13,59466
36092,36082,2932,191,13,59117
36093,36083,3048,196,13,57331
36094,36084,2941,204,13,57293
36095,36085,2642,199,13,59554
36096,36086,2642,199,13,59554
36097,36087,2856,201,13,57455
36098,36088,2819,188,13,56352
36099,36089,2993,206,13,57697
36100,36090,2616,184,13,53455
36101,36091,2847,205,13,59466
36102,36092,2585,190,13,54265
36103,36093,3089,206,13,57652
36104,36094,3026,197,13,58114
36105,36095,2833,203,13,56229
36106,36096,3033,197,13,58163
36107,36097,2793,190,13,54173
36108,36098,2603,180,13,54382
36109,36099,2793,190,13,54173
36110,36100,2676,201,13,57463
36111,36101,2728,179,13,53392
36112,36102,2728,179,13,53392
36113,36103,2592,193,13,57762
36114,36104,2842,201,13,57485
36115,36105,2697,200,13,59273
36116,36106,3009,207,13,51355
36117,36107,2578,186,13,52273
36118,36108,2802,182,13,53256
36119,36109,3078,186,13,52271
36120,36110,2638,186,13,52255
36121,36111,2825,201,13,57462
36122,36112,2756,196,13,57372
36123,36113,2685,204,13,57263
36124,36114,2776,207,13,51381
36125,36115,2809,203,13,56257
36126,36116,3025,181,13,56195
36127,36117,3098,197,13,58152
36128,36118,2887,201,13,57475
36129,36119,3106,192,13,57165
36130,36120,3132,180,13,54395
36131,36121,3117,206,13,57682
36132,36122,2934,191,13,59157
36133,36123,2745,181,13,56194
36134,36124,2812,181,13,56483
36135,36125,2737,196,13,57382
36136,36126,3064,205,13,59428
36137,36127,3085,200,13,59219
36138,36128,2923,181,13,56553
36139,36129,2822,188,13,56373
36140,36130,3005,198,13,50662
36141,36131,2767,188,13,56371
36142,36132,3060,193,13,57781
36143,36133,2740,203,13,56252
36144,36134,2583,188,13,56361
36145,36135,2877,206,13,57671
36146,36136,2818,181,13,56482
36147,36137,2606,185,13,58219
36148,36138,2684,206,13,57663
36149,36139,3071,190,13,54175
36150,36140,3106,192,13,57163
36151,36141,3013,193,13,57752
36152,36142,2792,203,13,56255
36153,36143,2572,183,13,51273
36154,36144,2779,181,13,56162
36155,36145,2827,181,13,56192
36156,36146,2984,198,13,50213
36157,36147,2814,196,13,57352
36158,36148,3025,181,13,56195
36159,36149,3086,206,13,57681
36160,36150,3086,206,13,57681
36161,36151,2877,206,13,57671
36162,36152,2822,188,13,56373
36163,36153,2708,203,13,56283
36164,36154,2899,188,13,56364
36165,36155,2658,203,13,56262
36166,36156,2980,207,13,51363
36167,36157,2589,191,13,59158
36168,36158,2993,206,13,57697
36169,36159,2896,190,13,54191
36170,36160,2629,196,13,57376
36171,36161,2814,196,13,57352
36172,36162,2716,200,13,59265
36173,36163,3024,198,13,50773
36174,36164,3057,201,13,57425
36175,36165,2904,188,13,56374
36176,36166,3050,194,13,51151
36177,36167,2921,188,13,56365
36178,36168,2788,203,13,56258
36179,36169,2600,183,13,51271
36180,36170,2703,198,13,50181
36181,36171,2743,199,13,59582
36182,36172,2969,197,13,58166
36183,36173,3119,206,13,57677
36184,36174,2831,207,13,51357
36185,36175,2831,207,13,51357
36186,36176,2606,185,13,58219
36187,36177,2935,190,13,54263
36188,36178,2779,181,13,56162
36189,36179,2834,198,13,50614
36190,36180,2814,196,13,57352
36191,36181,2644,185,13,58261
36192,36182,2999,206,13,57675
36193,36183,2935,190,13,54263
36194,36184,2684,206,13,57663
36195,36185,2856,201,13,57455
36196,36186,3039,204,13,57272
36197,36187,2839,202,13,59311
36198,36188,2963,201,13,57474
36199,36189,2973,204,13,57274
36200,36190,2873,185,13,58257
36201,36191,3071,190,13,54175
36202,36192,2963,201,13,57474
36203,36193,2748,197,13,58193
36204,36194,2823,207,13,51382
36205,36195,3042,196,13,57391
36206,36196,2792,203,13,56255
36207,36197,2879,201,13,57468
36208,36198,2923,181,13,56553
36209,36199,2867,206,13,57678
36210,36200,2814,196,13,57352
36211,36201,2818,181,13,56482
36212,36202,2631,200,13,59271
36213,36203,3069,196,13,57375
36214,36204,2779,181,13,56162
36215,36205,2814,196,13,57352
36216,36206,2704,181,13,56163
36217,36207,2816,190,13,54181
36218,36208,2980,207,13,51363
36219,36209,3039,204,13,57272
36220,36210,2576,181,13,56153
36221,36211,2812,181,13,56483
36222,36212,3039,204,13,57272
36223,36213,2911,193,13,57793
36224,36214,2748,197,13,58193
36225,36215,2811,206,13,57672
36226,36216,2749,196,13,57373
36227,36217,2734,204,13,57252
36228,36218,2932,191,13,59112
36229,36219,2810,205,13,59461
36230,36220,2855,193,13,57179
36231,36221,2827,181,13,56192
36232,36222,2903,190,13,54183
36233,36223,2698,180,13,54395
36234,36224,2991,192,13,57563
36235,36225,2681,181,13,56196
36236,36226,2899,188,13,56364
36237,36227,2697,200,13,59273
36238,36228,2651,198,13,50777
36239,36229,3009,207,13,51355
36240,36230,3011,191,13,59182
36241,36231,2934,191,13,59157
36242,36232,2649,191,13,59163
36243,36233,2570,181,13,56415
36244,36234,2746,185,13,58254
36245,36234,3019,201,13,57466
36246,36236,2642,199,13,59554
36247,36237,2662,185,13,58255
36248,36238,3030,207,13,51356
36249,36239,3037,201,13,57465
36250,36240,2576,181,13,56153
36251,36241,2710,204,13,57275
36252,36242,2675,199,13,59583
36253,36243,3091,205,13,59462
36254,36244,2675,199,13,59583
36255,36245,2675,199,13,59583
36256,36246,2699,185,13,58313
36257,36247,2964,206,13,57692
36258,36248,2959,197,13,58161
36259,36249,3026,197,13,58114
36260,36250,3096,202,13,59341
36261,36251,2645,202,13,59322
36262,36252,2973,204,13,57274
36263,36253,2994,191,13,59154
36264,36254,2994,191,13,59154
36265,36255,2842,201,13,57485
36266,36256,2956,198,13,50148
36267,36257,2896,190,13,54191
36268,36258,3090,201,13,57451
36269,36259,2683,203,13,56281
36270,36260,2813,201,13,57483
36271,36261,2760,193,13,57791
36272,36262,3106,192,13,57169
36273,36263,2631,200,13,59271
36274,36264,2744,199,13,59567
36275,36265,2916,202,13,59372
36276,36266,2693,181,13,56152
36277,36267,2702,200,13,59261
36278,36268,2743,199,13,59582
36279,36269,2910,198,13,50552
36280,36270,2814,196,13,57352
36281,36271,2576,181,13,56153
36282,36272,2704,181,13,56163
36283,36273,2858,191,13,59186
36284,36274,2624,190,13,54172
36285,36275,2730,181,13,56151
36286,36276,2830,204,13,57256
36287,36277,2932,191,13,59119
36288,36278,3116,193,13,57784
36289,36279,2825,201,13,57462
36290,36280,2674,201,13,57452
36291,36281,3030,207,13,51356
36292,36282,2820,198,13,50261
36293,36283,3069,196,13,57375
36294,36284,3104,207,13,51383
36295,36285,2715,191,13,59156
36296,36286,2847,205,13,59466
36297,36287,3038,198,13,50228
36298,36288,3015,193,13,57721
36299,36289,2662,185,13,58255
36300,36290,2695,207,13,51311
36301,36291,2799,203,13,56253
36302,36292,3097,185,13,58383
36303,36293,3107,203,13,56272
36304,36294,2873,185,13,58257
36305,36295,2660,185,13,58381
36306,36296,2577,185,13,58252
36307,36297,2699,185,13,58315
36308,36298,2902,203,13,56259
36309,36299,2903,190,13,54183
36310,36300,2644,185,13,58261
36311,36301,3097,185,13,58383
36312,36302,2720,193,13,57792
36313,36303,2755,185,13,58372
36314,36304,2911,193,13,57793
36315,36305,2629,196,13,57376
36316,36306,2951,185,13,58262
36317,36307,3042,196,13,57391
36318,36308,2777,197,13,58183
36319,36309,3057,201,13,57422
36320,36310,2888,185,13,58382
36321,36311,3026,197,13,58114
36322,36312,2755,185,13,58372
36323,36313,2639,200,13,59274
36324,36314,2657,203,13,56254
36325,36315,2699,185,13,58315
36326,36316,3107,203,13,56272
36327,36317,3130,204,13,57215
36328,36318,2812,181,13,56483
36329,36319,3097,185,13,58383
36330,36320,2937,181,13,56485
36331,36321,2628,201,13,57464
36332,36322,3067,197,13,58167
36333,36323,2667,192,13,57555
36334,36324,2624,190,13,54172
36335,36325,3085,200,13,59219
36336,36326,2660,185,13,58381
36337,36327,2596,181,13,56512
36338,36328,3026,197,13,58114
36339,36329,2873,185,13,58257
36340,36330,2681,181,13,56196
36341,36331,2742,197,13,58171
36342,36332,2621,197,13,58172
36343,36333,2817,198,13,50664
36344,36334,2853,198,13,50774
36345,36335,3097,185,13,58383
36346,36336,2591,192,13,57562
36347,36337,2907,201,13,57473
36348,36338,2982,193,13,57731
36349,36339,2671,192,13,57556
36350,36340,3027,204,13,57283
36351,36341,3066,204,13,57261
36352,36342,3105,206,13,57691
36353,36343,2650,203,13,56271
36354,36344,2699,185,13,58314
36355,36345,2854,197,13,58164
36356,36346,2987,206,13,57696
36357,36347,2733,205,13,59465
36358,36348,2832,200,13,59262
36359,36349,2572,183,13,51273
36360,36350,2846,201,13,57486
36361,36351,2990,200,13,59255
36362,36352,2952,200,13,59264
36363,36353,2832,200,13,59262
36364,36354,2870,185,13,58256
36365,36355,3099,206,13,57698
36366,36356,2684,206,13,57663
36367,36357,2944,193,13,57782
36368,36358,2757,191,13,59152
36369,36359,2757,191,13,59152
36370,36360,2835,192,13,57571
36371,36361,2650,203,13,56271
36372,36362,3032,209,13,50736
36373,36363,2582,180,13,54474
36374,36364,2853,198,13,50774
36375,36365,3135,207,13,51372
36376,36366,3038,198,13,50224
36377,36367,3131,187,13,53171
36378,36368,2869,194,13,51164
36379,36369,2841,194,13,51129
36380,36370,2983,206,13,57683
36381,36371,2784,187,13,53195
36382,36372,2974,182,13,53273
36383,36373,2590,187,13,53194
36384,36374,2775,182,13,53283
36385,36375,2775,182,13,53283
36386,36376,2815,208,13,57135
36387,36377,2860,195,13,52355
36388,36378,2843,198,13,50775
36389,36379,2979,194,13,51161
36390,36380,2992,195,13,52362
36391,36381,3136,205,13,59455
36392,36382,2722,198,13,50551
36393,36383,2726,198,13,50772
36394,36384,2926,179,13,53352
36395,36385,2774,180,13,54366
36396,36386,2725,194,13,51144
36397,36387,3106,192,13,57169
36398,36388,2596,181,13,56512
36399,36389,2874,198,13,50771
36400,36390,2974,182,13,53273
36401,36391,3060,193,13,57781
36402,36392,2787,195,13,52352
36403,36393,2718,187,13,53124
36404,36394,2769,186,13,52275
36405,36395,3085,200,13,59213
36406,36396,3050,194,13,51151
36407,36397,2918,188,13,56362
36408,36398,2682,190,13,54119
36409,36399,2572,183,13,51273
36410,36400,2952,200,13,59264
36411,36401,2928,201,13,57461
36412,36402,2732,190,13,54212
36413,36403,2908,189,13,52193
36414,36404,2873,185,13,58257
36415,36405,2874,198,13,50771
36416,36406,2637,189,13,52181
36417,36407,2840,186,13,52263
36418,36408,2954,179,13,53372
36419,36409,2969,197,13,58166
36420,36410,2942,191,13,59181
36421,36411,2905,182,13,53257
36422,36412,2820,198,13,50267
36423,36413,2905,182,13,53257
36424,36414,3085,200,13,59219
36425,36415,3003,206,13,57694
36426,36416,2887,201,13,57475
36427,36417,3067,197,13,58167
36428,36418,2962,204,13,57277
36429,36419,2614,189,13,52473
36430,36420,2770,186,13,52214
36431,36421,2599,195,13,52371
36432,36422,2572,183,13,51273
36433,36423,2782,195,13,52319
36434,36424,2919,202,13,59333
36435,36425,2836,203,13,56256
36436,36426,2694,180,13,54394
36437,36427,2682,190,13,54112
36438,36428,2624,190,13,54172
36439,36429,3127,184,13,53474
36440,36430,3039,204,13,57272
36441,36431,2925,180,13,54365
36442,36432,2584,189,13,52194
36443,36433,2594,180,13,54392
36444,36434,2768,179,13,53362
36445,36435,3076,184,13,53418
36446,36436,2770,186,13,52219
36447,36437,2805,184,13,53482
36448,36438,2948,195,13,52357
36449,36439,2942,191,13,59181
36450,36440,2616,184,13,53455
36451,36441,2860,195,13,52355
36452,36442,2926,179,13,53352
36453,36443,3123,198,13,50229
36454,36444,2850,187,13,53162
36455,36445,2590,187,13,53194
36456,36446,2613,179,13,53391
36457,36447,3118,189,13,52462
36458,36448,3030,207,13,51356
36459,36449,2767,188,13,56371
36460,36450,2799,203,13,56253
36461,36451,2745,181,13,56194
36462,36452,2764,207,13,51361
36463,36453,3107,203,13,56272
36464,36454,2599,195,13,52371
36465,36455,2700,184,13,53457
36466,36456,2757,191,13,59152
36467,36457,3048,196,13,57331
36468,36458,2851,189,13,52466
36469,36459,2961,188,13,56314
36470,36460,2593,184,13,53453
36471,36461,2910,198,13,50552
36472,36462,2596,181,13,56512
36473,36463,3052,207,13,51364
36474,36464,2691,203,13,56263
36475,36465,3104,207,13,51383
36476,36466,2764,207,13,51361
36477,36467,2678,189,13,52464
36478,36468,3104,207,13,51383
36479,36469,2584,189,13,52194
36480,36470,3047,186,13,52276
36481,36471,2723,189,13,52192
36482,36472,2782,195,13,52319
36483,36473,2588,182,13,53281
36484,36474,2588,182,13,53281
36485,36475,3124,194,13,51174
36486,36476,2913,206,13,57662
36487,36477,2787,195,13,52352
36488,36478,3047,186,13,52276
36489,36479,2608,197,13,58162
36490,36480,2905,182,13,53257
36491,36481,2930,194,13,51137
36492,36482,2871,190,13,54262
36493,36483,3006,208,13,57146
36494,36484,2586,191,13,59185
36495,36485,3126,187,13,53191
36496,36486,2597,194,13,51173
36497,36487,2674,201,13,57452
36498,36488,2604,196,13,57384
36499,36489,2695,207,13,51319
36500,36490,2604,196,13,57384
36501,36491,2805,184,13,53482
36502,36492,2896,190,13,54191
36503,36493,2680,191,13,59172
36504,36494,3072,189,13,52415
36505,36495,3044,195,13,52354
36506,36496,2677,189,13,52471
36507,36497,2974,182,13,53273
36508,36498,2759,186,13,52253
36509,36499,2915,184,13,53475
36510,36500,3038,198,13,50227
36511,36501,2726,198,13,50772
36512,36502,2654,197,13,58182
36513,36503,3104,207,13,51383
36514,36504,2828,181,13,56193
36515,36505,2716,200,13,59265
36516,36506,2610,191,13,59174
36517,36507,2894,191,13,59155
36518,36508,2676,201,13,57463
36519,36509,3052,207,13,51364
36520,36510,2939,190,13,54261
36521,36511,2597,194,13,51173
36522,36512,2659,190,13,54171
36523,36513,2738,198,13,50661
36524,36514,3047,186,13,52276
36525,36515,3054,189,13,52463
36526,36516,2936,194,13,51171
36527,36517,2789,179,13,53353
36528,36518,2583,188,13,56361
36529,36519,2937,181,13,56485
36530,36520,2582,180,13,54474
36531,36521,3049,180,13,54362
36532,36522,2799,203,13,56253
36533,36523,2914,201,13,57467
36534,36524,3087,198,13,50246
36535,36525,2644,185,13,58261
36536,36526,2571,182,13,53265
36537,36527,2895,192,13,57528
36538,36528,2789,179,13,53353
36539,36529,2789,179,13,53353
36540,36530,2886,192,13,57554
36541,36531,2840,186,13,52263
36542,36532,2955,186,13,52261
36543,36533,3133,187,13,53151
36544,36534,2578,186,13,52273
36545,36535,2773,187,13,53181
36546,36536,2678,189,13,52464
36547,36537,2670,199,13,59565
36548,36538,2702,200,13,59261
36549,36539,3041,207,13,51356
36550,36540,2935,190,13,54263
36551,36541,2635,182,13,53255
36552,36542,3128,186,13,52262
36553,36543,2599,195,13,52371
36554,36544,2800,194,13,51183
36555,36545,2729,184,13,53481
36556,36546,2587,187,13,53163
36557,36547,2733,205,13,59465
36558,36548,2832,200,13,59262
36559,36549,3025,181,13,56195
36560,36550,2587,187,13,53163
36561,36551,2961,188,13,56316
36562,36552,3133,187,13,53151
36563,36553,2909,204,13,57281
36564,36554,2784,187,13,53195
36565,36555,3050,194,13,51151
36566,36556,2832,200,13,59262
36567,36557,3003,206,13,57694
36568,36558,2907,201,13,57473
36569,36559,2878,184,13,53458
36570,36560,2697,200,13,59273
36571,36561,2697,200,13,59273
36572,36562,2777,197,13,58183
36573,36563,2893,180,13,54381
36574,36564,3071,190,13,54175
36575,36565,2704,181,13,56163
36576,36566,2812,181,13,56483
36577,36567,2587,187,13,53163
36578,36568,2704,181,13,56414
36579,36569,2728,179,13,53392
36580,36570,3047,186,13,52276
36581,36571,2761,198,13,50139
36582,36572,3049,180,13,54362
36583,36573,2700,184,13,53457
36584,36574,2797,183,13,51252
36585,36575,3083,198,13,50249
36586,36576,2745,181,13,56194
36587,36577,3085,200,13,59211
36588,36578,2799,203,13,56253
36589,36579,2966,207,13,51352
36590,36580,2928,201,13,57461
36591,36581,2709,192,13,57552
36592,36582,2739,201,13,57481
36593,36583,3105,206,13,57691
36594,36584,3069,196,13,57375
36595,36585,3015,193,13,57722
36596,36586,2684,206,13,57663
36597,36587,2850,187,13,53162
36598,36588,2915,184,13,53475
36599,36589,2915,184,13,53475
36600,36590,2921,188,13,56365
36601,36591,2868,179,13,53393
36602,36592,2808,187,13,53176
36603,36593,2634,187,13,53161
36604,36594,2750,186,13,52274
36605,36595,2863,183,13,51274
36606,36596,2728,179,13,53392
36607,36597,2682,190,13,54114
36608,36598,2682,190,13,54115
36609,36599,2724,205,13,59411
36610,36600,2689,201,13,57484
36611,36601,2578,186,13,52273
36612,36602,2605,190,13,54264
36613,36603,2796,184,13,53473
36614,36604,2721,198,13,50178
36615,36605,2721,198,13,50177
36616,36606,2986,205,13,59463
36617,36607,3138,189,13,52122
36618,36608,2757,191,13,59152
36619,36609,3124,194,13,51174
36620,36610,2677,189,13,52471
36621,36611,3033,197,13,58163
36622,36612,2994,191,13,59154
36623,36613,2935,190,13,54263
36624,36614,2892,200,13,59272
36625,36615,2673,179,13,53381
36626,36616,3139,182,13,53253
36627,36617,2802,182,13,53256
36628,36618,3067,197,13,58167
36629,36619,2869,194,13,51164
36630,36620,3045,187,13,53165
36631,36621,2725,194,13,51141
36632,36622,2725,194,13,51141
36633,36623,2834,198,13,50614
36634,36624,2645,202,13,59326
36635,36625,3018,181,13,56111
36636,36626,2791,180,13,54416
36637,36627,3021,180,13,54364
36638,36628,2568,180,13,54312
36639,36629,2839,202,13,59317
36640,36630,2932,191,13,59116
36641,36631,2992,195,13,52362
36642,36632,2829,200,13,59263
36643,36633,2660,185,13,58381
