id,nama_kecamatan,kota_id
2001,CINAMBO,161
2002,CICALENGKA,161
2003,CARIU,171
2004,LEUWISADENG,171
2005,KIARACONDONG,161
2006,BABAKAN,160
2007,CIBEUREUM,162
2008,CIPARAY,161
2009,CISAAT,162
2010,CISEENG,171
2011,CIWARINGIN,160
2012,DRAMAGA,171
2013,KERTAJATI,165
2014,PANGANDARAN,174
2015,SUMBER,160
2016,TENJO,171
2017,WANAYASA,170
2018,KARANGTENGAH,175
2019,BABAKANCIKAO,170
2020,CIGANDAMEKAR,166
2021,GABUSWETAN,164
2022,PARUNG KUDA,162
2023,RAJAGALUH,165
2024,CIANJUR,175
2025,PANGATIKAN,173
2026,CIGUGUR,166
2027,JALAKSANA,166
2028,SINDANGAGUNG,166
2029,BANTARUJEG,165
2030,SUKALUYU,175
2031,KADUGEDE,166
2032,BABELAN,172
2033,SELAJAMBE,166
2034,BANYURESMI,173
2035,SUMEDANG SELATAN,163
2036,CIKIJING,165
2037,JASINGA,171
2038,KALIPUCANG,174
2039,PANJALU,168
2040,DARMA,166
2041,JAMBLANG,160
2042,DUKUPUNTANG,160
2043,SINDANGWANGI,165
2044,PABUARAN,169
2045,NARINGGUL,175
2046,JONGGOL,171
2047,KALI BUNDER,162
2048,CIBOGO,169
2049,GANTAR,164
2050,PALIMANAN,160
2051,CISURUPAN,173
2052,DAWUAN,165
2053,PAGADEN BARAT,169
2054,BANJAR,176
2055,BALONGAN,164
2056,JATISARI,159
2057,RAWAMERTA,159
2058,BOGOR BARAT - KOTA,171
2059,CANGKUANG,161
2060,MUNDU,160
2061,CILIMUS,166
2062,CICURUG,162
2063,CIPAKU,168
2064,GEKBRONG,175
2065,LEMAHSUGIH,165
2066,TEGAL BULEUD,162
2067,CIPEUNDEUY,169
2068,KALIJATI,169
2069,WIDASARI,164
2070,BANGODUA,164
2071,KLANGENAN,160
2072,CISAGA,168
2073,LANGKAPLANCAR,174
2074,PANAWANGAN,168
2075,SUBANG,166
2076,PAMARICAN,168
2077,CIAWI,171
2078,SUKATANI,172
2079,BANJARAN,161
2080,BANJARAN,165
2081,SUMBERJAYA,165
2082,PANUMBANGAN,168
2083,BANJARSARI,168
2084,BAYONGBONG,173
2085,CIDADAP,162
2086,JATINUNGGAL,163
2087,PANGALENGAN,161
2088,SUKARESIK,167
2089,BANJARWANGI,173
2090,SALOPA,167
2091,JAMPANG TENGAH,162
2092,BANTARGADUNG,162
2093,BANTAR GEBANG,172
2094,KLAPA NUNGGAL (KELAPA NUNGGAL),171
2095,NANGGUNG,171
2096,PURWADADI,168
2097,BOGOR UTARA - KOTA,171
2098,PEBAYURAN,172
2099,RANCA BUNGUR,171
2100,CIPATUJAH,167
2101,WARUNG KIARA,162
2102,CISARUA,163
2103,CIBINGBIN,166
2104,BUNGURSARI,167
2105,CIJAMBE,169
2106,PABUARAN,162
2107,PANYINGKIRAN,165
2108,BANYUSARI,159
2109,TANJUNGKERTA,163
2110,TARAJU,167
2111,CIBITUNG,162
2112,SUKAHENING,167
2113,SUKASARI,163
2114,KATAPANG,161
2115,MALAUSMA,165
2116,BOGOR TIMUR - KOTA,171
2117,CIPONGKOR,177
2118,BAREGBEG,168
2119,LAKBOK,168
2120,LEUWILIANG,171
2121,CIGASONG,165
2122,BAROS,162
2123,CIMAHI TENGAH,178
2124,MALANGBONG,173
2125,PARUNGPONTENG,167
2126,PASIRWANGI,173
2127,CIGEDUG,173
2128,CISARUA,171
2129,BATUJAJAR,177
2130,BATUJAYA,159
2131,CIJULANG,174
2132,CIBINONG,175
2133,CIPANAS,175
2134,PATARUMAN,176
2135,CILILIN,177
2136,CIMERAK,174
2137,BANDUNG KIDUL,161
2138,CIBADAK,162
2139,DAWUAN,169
2140,MANONJAYA,167
2141,BOGOR SELATAN - KOTA,171
2142,TEGAL WARU,170
2143,GEGESIK,160
2144,JATINAGARA,168
2145,CILAMAYA KULON,159
2146,SINDANG,165
2147,BEBER,160
2148,CIMARAGAS,168
2149,SAWANGAN,158
2150,BEJI,158
2151,PURWADADI,169
2152,CIREUNGHAS,162
2153,CIMAHI,166
2154,KARANGAMPEL,164
2155,SADANANYA,168
2156,LEBAKWANGI,166
2157,MAJALAYA,159
2158,CUGENANG,175
2159,CAMPAKA,170
2160,CIAMIS,168
2161,CIAMPEA,171
2162,WARUDOYONG,162
2163,BOJONG GENTENG,162
2164,BATUNUNGGAL,161
2165,BINONG,169
2166,BEKASI BARAT,172
2167,MAJALAYA,161
2168,BLANAKAN,169
2169,KARANGWARENG,160
2170,MANDE,175
2171,LEGONKULON,169
2172,TUKDANA,164
2173,PLUMBON,160
2174,SUKRA,164
2175,TAMBAKDAHAN,169
2176,BOJONG,170
2177,BOJONGGEDE,171
2178,JAMPANG KULON,162
2179,PARUNG,171
2180,PUSAKAJAYA,169
2181,PAMEUNGPEUK,173
2182,SUSUKAN,160
2183,GUNUNG PUTRI,171
2184,RAWALUMBU,172
2185,CIPAYUNG,158
2186,BOJONGSARI,158
2187,CURUGKEMBAR,162
2188,BUNGBULANG,173
2189,CIKEMBAR,162
2190,KRAMAT MULYA,166
2191,NAGREG,161
2192,PARIGI,174
2193,RONGGA,177
2194,BOJONGASIH,167
2195,PARAKAN SALAK,162
2196,SOLOKAN JERUK,161
2197,BOJONGGAMBIR,167
2198,JAMANIS,167
2199,RANCAH,168
2200,SAGULING,177
2201,NYALINDUNG,162
2202,LANGENSARI,176
2203,KADUPANDAK,175
2204,AGRABINTA,175
2205,NGAMPRAH,177
2206,PAMEUNGPEUK,161
2207,CIJATI,175
2208,BUAHDUA,163
2209,KASOMALANG,169
2210,RANCAEKEK,161
2211,BOJONGMANGU,172
2212,CIPEUNDEUY,177
2213,CIJEUNGJING,168
2214,CILEDUG,160
2215,TANGGEUNG,175
2216,BOJONGPICUNG,175
2217,BOJONGSOANG,161
2218,CULAMEGA,167
2219,GUNUNG TANJUNG,167
2220,INDRAMAYU,164
2221,KEDUNG WARINGIN,172
2222,PADAHERANG,174
2223,TIRTAMULYA,159
2224,KEBONPEDES,162
2225,LOHBENER,164
2226,TIRTAJAYA,159
2227,SUKAGUMIWANG,164
2228,BONGAS,164
2229,PAMANUKAN,169
2230,PASEH,163
2231,CIMANGGU,162
2232,PASEKAN,164
2233,CIBUGEL,163
2234,SINDANGKASIH,168
2235,CIAWI,167
2236,TOMO,163
2237,JATIBARANG,164
2238,KANDANGHAUR,164
2239,CIKIDANG,162
2240,CIDAHU,166
2241,JATILUHUR,170
2242,TAKOKAK,175
2243,KAPETAKAN,160
2244,CILEBAK,166
2245,PONDOKSALAM,170
2246,BUNGURSARI,170
2247,TANJUNGSIANG,169
2248,KADIPATEN,167
2249,MALEBER,166
2250,HANTARA,166
2251,JALANCAGAK,169
2252,GUNUNGHALU,177
2253,PAGELARAN,175
2254,WARUNGKONDANG,175
2255,KUTAWARINGIN,161
2256,SINDANGKERTA,177
2257,CIGUGUR,174
2258,GEGER BITUNG,162
2259,PALASAH,165
2260,PELABUHAN / PALABUHAN RATU,162
2261,SURADE,162
2262,SUKADANA,168
2263,SETU,172
2264,LENGKONG,161
2265,SUKARAJA,171
2266,TALAGASARI,159
2267,ANDIR,161
2268,CAMPAKA,175
2269,CAMPAKA MULYA,175
2270,CIMAUNG,161
2271,KEDOKAN BUNDER,164
2272,CANTIGI,164
2273,PLERED,160
2274,DAYEUHKOLOT,161
2275,LELES,173
2276,CARINGIN,162
2277,WALURAN,162
2278,BANDUNG KULON,161
2279,CARINGIN,171
2280,CARINGIN,173
2281,CISOLOK,162
2282,KARANGTENGAH,173
2283,CIKATOMAS,167
2284,LOSARANG,164
2285,CIBUAYA,159
2286,TALUN (CIREBON SELATAN),160
2287,PADALARANG,177
2288,LELEA,164
2289,CIBUNGBULANG,171
2290,JAPARA,166
2291,PURWASARI,159
2292,CIGOMBONG,171
2293,KABANDUNGAN,162
2294,SUKATANI,170
2295,CIKARANG SELATAN,172
2296,CIOMAS,171
2297,CIASEM,169
