id,nama_kecamatan,kota_id
6501,GOYAGE,442
6502,JAYAPURA UTARA,439
6503,DEMBA MASIREI,452
6504,PARO,447
6505,BALINGGA,446
6506,AIMANDO PADAIDO,448
6507,PANTAI TIMUR,457
6508,YAPEN BARAT,449
6509,KIRIHI,452
6510,BONGGO,457
6511,AMBATKWI (AMBATKUI),455
6512,PULAU TIGA,438
6513,UREIFASEI,452
6514,KELILA,463
6515,WUSUMA,456
6516,WELESI,445
6517,BOKONDINI,442
6518,OK AOM,444
6519,SILO KARNO DOGA,445
6520,PIYAIYE (SUKIKAI),437
6521,MEBAROK,447
6522,ASOLOGAIMA (ASALOGAIMA),445
6523,PANTAI BARAT,457
6524,JAYAPURA SELATAN,439
6525,WARI (TAIYEVE),442
6526,TIOMNERI,446
6527,UWAPA,453
6528,KONDAGA (KONDA),442
6529,ARIMOP,455
6530,BORME,444
6531,KALOMDOL,444
6532,KAWOR,444
6533,ANDEY (ANDEI),448
6534,SARMI,457
6535,WUNIN (WUMIN),442
6536,ERAGAYAM,463
6537,ARSO,460
6538,SKAMTO (SKANTO),460
6539,MBUA (MBUGA),447
6540,MOORA,453
6541,KUBU,442
6542,KEPULAUAN ARURI,461
6543,TEMBAGAPURA,454
6544,WINDESI,449
6545,NUMFOR TIMUR,448
6546,SENTANI TIMUR,439
6547,SILIMO,456
6548,SELA,456
6549,MULIAMA,445
6550,ASOLOKOBAL,445
6551,SAMENAGE,456
6552,SYAHCAME,441
6553,KIWIROK,444
6554,YAWOSI,448
6555,AGATS,438
6556,BETCBAMU,438
6557,OKBEMTAU,444
6558,OKBAB,444
6559,MINYAMUR,441
6560,KOLF BRAZA,438
6561,PADAIDO,448
6562,TELENGGEME,442
6563,KANGGIME (KANGGIMA ),442
6564,AIRU,439
6565,PULAU YERUI,449
6566,WAMENA,445
6567,OKSAMOL,444
6568,INIYANDIT,455
6569,SUPIORI SELATAN,461
6570,KEBO,440
6571,WAPOGA INGGERUS,452
6572,AWINBON,444
6573,SIRETS,438
6574,GUNDAGI (GUDAGE),442
6575,SAFAN,438
6576,YAPEN TIMUR,449
6577,GAMELIA,446
6578,TIGI BARAT,459
6579,IBELE,445
6580,BPIRI,445
6581,ANIMHA,458
6582,BEOGA,450
6583,NINIA,456
6584,EDERA,441
6585,SARMI TIMUR,457
6586,WENAM,442
6587,MALAGAINERI (MALAGINERI),446
6588,TIGI TIMUR,459
6589,GILUBANDU (GILUMBANDU / GILIMBANDU),442
6590,MAMBERAMO HILIR / ILIR,462
6591,KABIANGGAMA (KABIANGGEMA),456
6592,ULILIN,458
6593,OUDATE WAROPEN,452
6594,BENUKI,462
6595,BATANI,444
6596,INIYE,447
6597,PULDAMA,456
6598,NUMBA,442
6599,SOBAHAM,456
6600,MEWOLUK (MEWULOK),443
6601,KWELEMDUA (KWELAMDUA),456
6602,WAIBU,439
6603,KEGAYEM,447
6604,WOSAK,447
6605,MERAUKE,458
6606,TABONJI,458
6607,BOLAKME,445
6608,SOLOIKMA,456
6609,GRESI SELATAN,439
6610,FOFI,455
6611,KIMAAM,458
6612,EIPUMEK,444
6613,PAMEK,444
6614,WAROPEN ATAS,462
6615,NELAWI,442
6616,ROFAER (RUFAER),462
6617,TALAMBO,456
6618,NUMFOR BARAT,448
6619,TI ZAIN,441
6620,TEIRAPLU,444
6621,TELUK UMAR,453
6622,TIMORI,442
6623,PANTAI KASUARI,438
6624,MANGGELUM,455
6625,PANIAI BARAT,440
6626,TAGIME,442
6627,NUNGGAWI (MUNGGAWI),442
6628,UNURUM GUAY,439
6629,PASIR PUTIH,447
6630,NIMBOKRANG,439
6631,NIMBORAN,439
6632,KAMBONERI,442
6633,NAMBLUONG,439
6634,YAL,447
6635,TARUP,444
6636,KUALA KENCANA,454
6637,MURKIM,444
6638,TOWE,460
6639,BIBIDA,440
6640,ILYAWAB,458
6641,MAKIMI,453
6642,SUGAPA,451
6643,BIME,444
6644,DUNDU (NDUNDU),442
6645,SUNTAMON,456
6646,HOLUON,456
6647,PANGGEMA,456
6648,TAGINERI,442
6649,TAGINERI,445
6650,NIRKURI,447
6651,DOW,442
6652,MAMBERAMO TENGAH TIMUR,462
6653,UBAHAK,456
6654,EMBETPEN,447
6655,NIPSAN,456
6656,BIUK,442
6657,KAWAGIT,455
6658,DOGIYAI,437
6659,KAMU TIMUR,437
6660,KAMU SELATAN,437
6661,BOGOBAIDA,440
6662,POGANERI,442
6663,TAELAREK,445
6664,TIOM,446
6665,NALCA,456
6666,ILAGA,450
6667,KENYAM,447
6668,GEAREK,447
6669,BOMELA,456
6670,YARO (YARO KABISAY),453
6671,PEPERA,444
6672,MAKKI (MAKI),446
6673,SUMO,456
6674,TOR ATAS,457
6675,YIGI,447
6676,ELIGOBEL,458
6677,MBULMU YALMA,447
6678,KEMTUK GRESI,439
6679,JETFA,444
6680,KORA,447
6681,SIRIWO,440
6682,WUGI,442
6683,MUSAIK,456
6684,WONOKI (WONIKI),442
6685,KAMU,437
6686,WANGGAR,453
6687,NABIRE BARAT,453
6688,YAPSI,439
6689,NABIRE,453
6690,LOLAT,456
6691,SEREDELA (SEREDALA),456
6692,YOKARI,439
6693,PASSUE BAWAH,441
6694,OBIO,456
6695,NONGME,444
6696,AYIP,438
6697,MAMBERAMO HULU / ULU,462
6698,OBAA,441
6699,RISEI SAYATI,452
6700,DAL,447
6701,WEIME,444
6702,ILUGWA,463
6703,HITADIPA,451
6704,MAM,447
6705,WANDAI,451
6706,DEKAI,456
6707,MUGI,447
6708,ENDOMEN,456
6709,KOMBAY,455
6710,DURAM,456
6711,KIWIROK TIMUR,444
6712,DIPA,453
6713,JILA,454
6714,DIMBA,446
6715,GIKA,442
6716,HILIPUK,456
6717,IWUR (OKIWUR),444
6718,SENTANI,439
6719,TUBANG,458
6720,DUMADAMA,440
6721,WAME,445
6722,HUBIKIAK,445
6723,MALIND,458
6724,DEPAPRE,439
6725,SENTANI BARAT,439
6726,BONDIFUAR,448
6727,DOUFU,450
6728,SUPIORI TIMUR,461
6729,HOGIO (HUGIO),456
6730,MAPENDUMA,447
6731,KAMU UTARA (IKRAR / IKRAT),437
6732,VENAHA,441
6733,EGIAM,442
6734,PIRIME,446
6735,WALAIK,445
