id,nama_kecamatan,kota_id
4718,KAHAYAN TENGAH,308
4719,PARENGGEAN,303
4720,KOTA BESI,303
4721,KAPUAS TENGAH,307
4722,LAMANDAU,309
4723,KATINGAN KUALA,311
4724,KAPUAS HILIR,307
4725,PASAK TALAWANG,307
4726,PAJU EPAT,306
4727,GUNUNG TIMANG,314
4728,BATAGUH,307
4729,PEMATANG KARAU,306
4730,TAMBAN CATUR,307
4731,SERUYAN RAYA,310
4732,TEWANG SANGGALANG GARING (SANGALANG),311
4733,SERUYAN HILIR TIMUR,310
4734,MANUHING,315
4735,DUSUN UTARA,312
4736,PAKU,306
4737,BUKIT BATU,316
4738,DANAU SEMBULUH,310
4739,KATINGAN HILIR,311
4740,GUNUNG PUREI,314
4741,MENTAWA BARU (KETAPANG),303
4742,KAPUAS KUALA,307
4743,PERMATA INTAN,313
4744,KAPUAS HULU,307
4745,ARUT SELATAN,305
4746,DUSUN SELATAN,312
4747,GUNUNG BINTANG AWAI,312
4748,RAREN BATUAH,306
4749,BASARANG,307
4750,TELUK SAMPIT,303
4751,MENTAYA HILIR SELATAN,303
4752,DUSUN HILIR,312
4753,MENTHOBI RAYA,309
4754,PETAK MALAI,311
4755,KATINGAN TENGAH,311
4756,KATINGAN HULU,311
4757,KUMAI,305
4758,LAUNG TUHUP,313
4759,SEMATU JAYA,309
4760,SUMBER BARITO,313
4761,BATU AMPAR,310
4762,SUNGAI BABUAT,313
4763,TEWAH,315
4764,MARIKIT,311
4765,RUNGAN HULU,315
4766,BATANGKAWA,309
4767,KAHAYAN HULU UTARA,315
4768,BARITO TUHUP RAYA,313
4769,BULIK TIMUR,309
4770,SERANAU,303
4771,SERUYAN HILIR,310
4772,BANAMA TINGANG,308
4773,BELANTIKAN RAYA,309
4774,PANDIH BATU,308
4775,TANAH SIANG,313
4776,KAPUAS MURUNG,307
4777,TEWEH TIMUR,314
4778,LAHEI BARAT,314
4779,LAHEI,314
4780,DADAHUP,307
4781,RUNGAN,315
4782,SEBANGAU,316
4783,TEWEH TENGAH,314
4784,ANTANG KALANG,303
4785,TEWEH SELATAN,314
4786,TELAWANG,303
4787,MANTANGAI,307
4788,CEMPAGA HULU,303
4789,TUALAN HULU,303
4790,RAKUMPIT,316
4791,JEKAN RAYA,316
4792,MIRI MANASA,315
4793,PULAU MALAN,311
4794,SERUYAN HULU,310
4795,CEMPAGA,303
4796,MIHING RAYA,315
4797,TANAH SIANG SELATAN,313
4798,SANAMAN MANTIKEI (SENAMANG MANTIKEI),311
4799,KARUSEN JANANG,306
4800,ARUT UTARA,305
4801,TEWEH BARU,314
4802,JABIREN RAYA,308
4803,TASIK PAYAWAN,311
4804,RUNGAN BARAT,315
4805,KURUN,315
4806,MANDAU TALAWANG,307
4807,PANGKALAN LADA,305
4808,UUT MURUNG,313
4809,MONTALLAT (MONTALAT),314
4810,MENDAWAI,311
4811,DAMANG BATU,315
4812,SUKAMARA,304
4813,JELAI,304
4814,DELANG,309
4815,PAHANDUT,316
4816,BUKIT SANTUEI,303
4817,SEPANG (SEPANG SIMIN),315
4818,MANUHING RAYA,315
4819,SEBANGAU KUALA,308
4820,SERIBU RIAM,313
4821,SELAT,307
4822,BUKIT RAYA,311
4823,JENAMAS,312
4824,SULING TAMBUN,310
4825,PANTAI LUNCI,304
4826,BINUANG,317
4827,KARANG INTAN,318
4828,SEI / SUNGAI TABUK,318
4829,LIMPASU,319
4830,TANJUNG,320
4831,BATANG ALAI TIMUR,319
4832,AMUNTAI UTARA,321
4833,TEBING TINGGI,322
4834,MARTAPURA TIMUR,318
4835,SATUI,323
4836,SIMPANG EMPAT,318
4837,BANJARMASIN UTARA,324
4838,HANTAKAN,319
4839,PENGARON,318
4840,PULAU LAUT SELATAN,325
4841,BATU BENAWA,319
4842,ALUH-ALUH,318
4843,JORONG,326
4844,KANDANGAN,327
4845,PAMINGGIR,321
4846,AWAYAN,322
4847,BATU AMPAR,326
4848,PELAIHARI,326
4849,TELAGA LANGSAT,327
4850,SIMPUR,327
4851,KELUA (KLUA),320
4852,ANJIR PASAR,328
4853,HARUYAN,319
4854,TAPIN TENGAH,317
4855,BATANG ALAI SELATAN,319
4856,ANGKINANG,327
4857,PERAMASAN,318
4858,ANGSANA,323
4859,HALONG,322
4860,KUSAN HULU,323
4861,ANJIR MUARA,328
4862,MARABAHAN,328
4863,BANJARMASIN TENGAH,324
4864,MANDASTANA,328
4865,MARTAPURA BARAT,318
4866,TAPIN UTARA,317
4867,AMUNTAI TENGAH,321
4868,KUSAN HILIR,323
