id,nama_kecamatan,kota_id
6001,BIAU,406
6002,ASPARAGA,408
6003,BILATO,408
6004,BONE,407
6005,KABILA BONE,407
6006,BILUHU,408
6007,BATUDAA PANTAI,408
6008,TOLANGOHULA,408
6009,ATINGGOLA,406
6010,LIMBOTO,408
6011,GENTUMA RAYA,406
6012,WANGGARASI,410
6013,BOTUMOITA (BOTUMOITO),409
6014,SUWAWA,407
6015,SUWAWA SELATAN,407
6016,WONOSARI,409
6017,DUMBO RAYA,408
6018,BOTU PINGGE,407
6019,SUMALATA TIMUR,406
6020,TOMOLITO,406
6021,PAGUAT,410
6022,TELAGA JAYA,408
6023,BULAWA,407
6024,POPAYATO,410
6025,KOTA BARAT,408
6026,TELAGA,408
6027,DUHIADAA,410
6028,SUMALATA,406
6029,SIPATANA,408
6030,BULANGO TIMUR,407
6031,POPAYATO TIMUR,410
6032,BUNTULIA,410
6033,POPAYATO BARAT,410
6034,TOLINGGULA,406
6035,LIMBOTO BARAT,408
6036,ANGGREK,406
6037,SUWAWA TIMUR,407
6038,KOTA UTARA,408
6039,HULONTHALANGI,408
6040,KOTA TENGAH,408
6041,TELAGA BIRU,408
6042,TILANGO,408
6043,DULUPI,409
6044,TAPA,407
6045,MONANO,406
6046,KABILA,407
6047,KOTA TIMUR,408
6048,MOOTILANGO,408
6049,DUNGINGI,408
6050,DENGILO,410
6051,TABONGO,408
6052,BULANGO ULU,407
6053,TALUDITI (TALUDUTI),410
6054,PONELO KEPULAUAN,406
6055,PAMBOANG,411
6056,TAPALANG BARAT,412
6057,PASANGKAYU,413
6058,ALU (ALLU),414
6059,BINUANG,414
6060,TUBBI TARAMANU (TUTAR / TUTALLU),414
6061,ANREAPI,414
6062,BUNTUMALANGKA,415
6063,ARALLE (ARRALE),415
6064,WONOMULYO,414
6065,TAMMEREDO SENDANA,411
6066,BUDONG-BUDONG,412
6067,LARIANG,413
6068,TABANG,415
6069,KEP. BALA BALAKANG,412
6070,BALANIPA,414
6071,BARAS,413
6072,BALLA,415
6073,TANDUK KALUA,415
6074,TOBADAK,412
6075,BAMBAIRA,413
6076,BAMBALAMOTU,413
6077,TOPOYO,412
6078,RANTEBULAHAN TIMUR,415
6079,BAMBANG,415
6080,MALUNDA,411
6081,MAMUJU,412
6082,TAPANGO,414
6083,SUMARORONG,415
6084,BANGGAE,411
6085,SENDANA,411
6086,BONEHAU,412
6087,LUYO,414
6088,BANGGAE TIMUR,411
6089,MATAKALI,414
6090,PAPALANG,412
6091,KALUMPANG,412
6092,PEDONGGA,413
6093,TINAMBUNG,414
6094,NOSU,415
6095,MATANGNGA,414
6096,KALUKKU,412
6097,TAPALANG,412
6098,DAPURANG,413
6099,MAPILLI,414
6100,MAMASA,415
6101,TUBO (TUBO SENDANA),411
6102,CAMPALAGIAN,414
6103,SIMBORO DAN KEPULAUAN,412
6104,MEHALAAN,415
6105,TOMMO,412
6106,MAMBI,415
6107,BULU TABA,413
6108,BULO,414
6109,SARUDU,413
6110,SAMPAGA,412
6111,TABULAHAN,415
6112,POLEWALI,414
6113,PANA,415
6114,TIKKE RAYA,413
6115,ULUMUNDA,411
6116,KAROSSA,412
6117,TAWALIAN,415
6118,PANGALE,412
6119,LIMBORO,414
6120,SARJO,413
6121,SESENA PADANG,415
6122,MESSAWA,415
6123,DURIPOKU,413
6124,WUARLABOBAR,416
6125,KEI KECIL TIMUR,417
6126,ELPAPUTIH,418
6127,PULAU HARUKU,419
6128,NUSALAUT,419
6129,SIWALALAT,420
6130,PULAU PULAU TERSELATAN,421
6131,KEI BESAR UTARA BARAT,417
6132,GOROM TIMUR,420
6133,SELARU,416
6134,YARU,416
6135,MOLU MARU,416
6136,KILMURY,420
6137,PULAU-PULAU BABAR TIMUR,421
6138,SIRIMAU,422
6139,SERAM UTARA,419
6140,AIRBUAYA,423
6141,SIRITAUN WIDA TIMUR,420
6142,KEPALA MADAN,424
6143,TUTUK TOLU,420
6144,SERAM UTARA TIMUR SETI,419
6145,BULA BARAT,420
6146,HUAMUAL BELAKANG (WAISALA),418
6147,ARU TENGAH,425
6148,LEIHITU BARAT,419
6149,KORMOMOLIN,416
6150,AMAHAI,419
6151,NUSANIWE (NUSANIVE),422
6152,WAKATE,420
6153,PULAU GORONG (GOROM),420
6154,WETAR,421
6155,WERTAMRIAN,416
6156,TEON NILA SERUA,419
6157,MASOHI KOTA,419
6158,KIAN DARAT,420
6159,ARU TENGAH SELATAN,425
6160,PULAU PANJANG,420
6161,HUAMUAL,418
6162,NIRUNMAS,416
6163,HOAT SORBAY,417
6164,WETAR TIMUR,421
6165,LEIHITU,419
6166,WERINAMA,420
6167,PULAU MASELA,421
6168,ARU TENGAH TIMUR,425
6169,FENA LEISELA,423
6170,KEI BESAR UTARA TIMUR,417
6171,WAELATA,423
6172,NAMLEA,423
6173,MDONA HYERA / HIERA,421
6174,BATABUAL,423
6175,WAESAMA,424
6176,WERMAKATIAN (WER MAKTIAN),416
6177,NAMROLE,424
6178,ARU SELATAN TIMUR,425
6179,ARU UTARA TIMUR BATULEY,425
6180,DAMER,421
6181,PULAU LETTI (LETI MOA LAKOR),421
6182,TELUK WARU,420
6183,SIR-SIR,425
6184,TANIMBAR SELATAN,416
6185,KEI BESAR,417
6186,SAPARUA,419
6187,KEPULAUAN MANIPA,418
6188,BULA,420
6189,TANIWEL,418
6190,KEI KECIL TIMUR SELATAN,417
6191,MANYEUW,417
6192,ARU SELATAN,425
6193,KEI KECIL,417
6194,PULAU DULLAH UTARA,426
6195,PULAU-PULAU ARU,425
6196,TEOR,420
6197,BANDA,419
6198,AMBALAU,424
6199,WETAR UTARA,421
6200,LEITIMUR SELATAN,422
6201,ARU SELATAN UTARA,425
6202,SERAM BARAT,418
6203,LEKSULA,424
6204,FENA FAFAN,424
6205,KEI BESAR SELATAN BARAT,417
6206,PULAU-PULAU KUR,426
6207,ARU UTARA,425
6208,SERAM UTARA BARAT,419
6209,SERAM TIMUR,420
6210,WAEAPO,423
6211,LOLONG GUBA,423
6212,BAGUALA,422
6213,WAPLAU,423
6214,TELUK AMBON,422
6215,TEHORU,419
6216,TANIWEL TIMUR,418
6217,KAIRATU,418
6218,PULAU WETANG,421
6219,PULAU PULAU BABAR,421
6220,KEPULAUAN ROMANG,421
6221,KUR SELATAN,426
6222,AMALATU,418
6223,INAMOSOL,418
6224,TELUTIH,419
