id,nama_kecamatan,kota_id
3501,BARENG,224
3502,RENGEL,243
3503,BAURENO,228
3504,PADAS,241
3505,KRAS,216
3506,SIDOARJO,234
3507,BOJONEGORO,228
3508,DAGANGAN,239
3509,KARANGBINANGUN,235
3510,NGANTANG,232
3511,PANEKAN,230
3512,PLEMAHAN,216
3513,REJOSO,242
3514,TAMAN,239
3515,BLULUK,235
3516,LUMBANG,227
3517,DONOMULYO,232
3518,KEBON AGUNG,236
3519,PADANGAN,228
3520,PUDAK,240
3521,SUMBERREJO,228
3522,BUDURAN,234
3523,KARANG GENENG,235
3524,LAMONGAN,235
3525,KEDUNGPRING,235
3526,CERME,215
3527,JETIS,238
3528,MANYAR,215
3529,NGANTRU,237
3530,TRUCUK,228
3531,TEGAL SIWALAN,225
3532,LUMAJANG,231
3533,PACIRAN,235
3534,BANTARAN,225
3535,KLAMPIS,218
3536,WUNGU,239
3537,BATANG BATANG,219
3538,BANYAKAN,216
3539,GEGER,218
3540,WIDODAREN,241
3541,BANYUPUTIH,220
3542,NGAWI,241
3543,SAWAHAN,221
3544,GENDING,225
3545,KALIBARU,226
3546,GRABAGAN,243
3547,SOLOKURO,235
3548,BANYUGLUGUR,220
3549,JATIROTO,231
3550,RANDUAGUNG,231
3551,KETAPANG,217
3552,PANCENG,215
3553,KALIDAWIR,237
3554,KEDAMEAN,215
3555,SENORI,243
3556,UJUNG PANGKAH,215
3557,NGRAYUN,240
3558,ROBATAL,217
3559,BINAKAL,229
3560,KLOJEN,232
3561,SAWAHAN,242
3562,SEKAR,228
3563,KRIAN,234
3564,BARON,242
3565,MAGETAN,230
3566,DURENAN,244
3567,PAMEKASAN,223
3568,SILIRAGUNG,226
3569,GANDING,219
3570,TENGGARANG,229
3571,KWANYAR,218
3572,GADING,225
3573,DASUK,219
3574,GEMARANG,239
3575,KASIMAN,228
3576,RINGINREJO,216
3577,PASEAN,223
3578,KANGAYAN,219
3579,TUBAN,243
3580,BEJI,227
3581,JATIREJO,238
3582,PLOSO,224
3583,KARTOHARJO (KERTOHARJO),230
3584,KASEMBON,232
3585,TONGAS,225
3586,LABANG,218
3587,TAMAN,234
3588,WONOAYU,234
3589,PAKUSARI,222
3590,TEMBELANG,224
3591,LAWANG,232
3592,GRESIK,215
3593,JIWAN,239
3594,SOOKO,240
3595,GAYAM,228
3596,JATIKALEN,242
3597,SEMANDING,243
3598,BOYOLANGU,237
3599,JENU,243
3600,JUNREJO,245
3601,KEDEWAN,228
3602,DONOROJO,236
3603,TRAWAS,238
3604,TAMBAKBOYO,243
3605,PURWOASRI,216
3606,BENDO,230
3607,GARUM,233
3608,CLURING,226
3609,SUMBERGEMPOL,237
3610,BANGIL,227
3611,GONDANG,237
3612,KEPANJEN KIDUL,233
3613,PAGU,216
3614,PARE,216
3615,KAMPAK,244
3616,WONOSARI,229
3617,SANAN WETAN,233
3618,KENDURUAN,243
3619,POGALAN,244
3620,KADEMANGAN,233
3621,PUJON,232
3622,SANAN KULON,233
3623,PRAMBON,234
3624,WONOCOLO,221
3625,PACET,238
3626,TUMPANG,232
3627,SAMBIKEREP,221
3628,KEMLAGI,238
3629,WARU,234
3630,KRUCIL,225
3631,SARIREJO,235
3632,BESUKI,237
3633,KEPUNG,216
3634,KLABANG,229
3635,TEMPEH,231
3636,BESUKI,220
3637,SEKARAN,235
3638,MOJOAGUNG,224
3639,MENGANTI,215
3640,SIMAN,240
3641,SOCAH,218
3642,KAMAL,218
3643,BINANGUN,233
3644,SINGGAHAN,243
3645,SOKOBANAH,217
3646,KANDAT,216
3647,KALITENGAH,235
3648,MUNCAR,226
3649,JAMBON,240
3650,BUNGATAN,220
3651,GUDO,224
3652,KESAMBEN,224
3653,MOJO,216
3654,TAROKAN,216
3655,SOOKO,238
3656,SUKOREJO,233
3657,NGETOS,242
3658,PRAJURIT KULON,238
3659,MADURAN,235
3660,LARANGAN,223
3661,KARANG PENANG,217
3662,SEMEN,216
3663,KARE,239
3664,NGADIROJO,236
3665,PLAOSAN,230
3666,MERAKURAK,243
3667,PUNUNG,236
3668,NGAMBON,228
3669,SUKODONO,231
3670,SAWOO,240
3671,PABEAN CANTIKAN,221
3672,PETERONGAN,224
3673,LUMBANG,225
3674,KARAS,230
3675,BOTOLINGGO,229
3676,BENDUNGAN,244
3677,GIRI,226
3678,MARON,225
3679,TLOGOSARI,229
3680,PARENGAN,243
3681,KARANGJATI,241
3682,LAREN,235
3683,KALITIDU,228
3684,PLOSOKLATEN,216
3685,BRONDONG,235
3686,TORJUN,217
3687,BRINGIN,241
3688,KAUMAN,240
3689,MONTONG,243
3690,SLAHUNG,240
3691,JOGOROGO,241
3692,TULAKAN,236
3693,BUBULAN,228
3694,SUBOH,220
3695,GADINGREJO,227
3696,KENJERAN,221
3697,BULAK,221
3698,PILANGKENCENG,239
3699,KARANGAN,244
3700,PRIGEN,227
3701,BUMIAJI,245
3702,GONDANGLEGI,232
3703,PURWOHARJO,226
3704,TEMPURSARI,231
3705,KALIPURO,226
3706,GEMPOL,227
3707,GLENMORE,226
3708,KESAMBEN,233
3709,PARANG,230
3710,GANDUSARI,233
3711,TALANGO,219
3712,KENCONG,222
3713,DONGKO,244
3714,PASONGSONGAN,219
3715,CAMPUR DARAT,237
3716,SIDOREJO,230
3717,SUKOREJO,227
3718,PRINGKUKU,236
3719,PORONG,234
3720,CANDIPURO,231
3721,KASREMAN,241
3722,JENGGAWAH,222
3723,PERAK,224
3724,PURWODADI,227
3725,SAMPUNG,240
3726,WONOSALAM,224
3727,MOJOWARNO,224
3728,PALANG,243
3729,SUMBER,225
3730,NGIMBANG,235
3731,TAPEN,229
3732,LECES,225
3733,WONOREJO,227
3734,JETIS,240
3735,KAPONGAN,220
