id,nama_kecamatan,kota_id
1501,TETAP (MUARA TETAP),116
1502,SEGINIM,120
1503,TELUK SEGARA,122
1504,MERIGI KELINDANG,113
1505,TABA PENANJUNG,113
1506,TALO KECIL,121
1507,SINDANG BELITI ILIR,114
1508,AIR PADANG,117
1509,TERAMANG JAYA,115
1510,KOTA MUKOMUKO (MUKOMUKO UTARA),115
1511,KAUR UTARA,116
1512,LUAS,116
1513,SUNGAI RUMBAI,115
1514,KEDURANG,120
1515,MERIGI,119
1516,CURUP UTARA,114
1517,PASAR MANNA,120
1518,PONDOK KUBANG,113
1519,KOTA PADANG,114
1520,LEBONG UTARA,118
1521,MUARA BANGKA HULU,122
1522,SELEBAR,122
1523,KEPAHIANG,119
1524,MUARA SAHUNG,116
1525,PENARIK,115
1526,BINGIN KUNING,118
1527,SELUMA TIMUR,121
1528,PADANG GUCI HULU,116
1529,GADING CEMPAKA,122
1530,AIR BESI,117
1531,KELAM TENGAH,116
1532,ARGA MAKMUR,117
1533,KARANG TINGGI,113
1534,XIV KOTO,115
1535,ILIR TALO,121
1536,SELUMA,121
1537,SINGARAN PATI,122
1538,URAM JAYA,118
1539,LEBONG TENGAH,118
1540,MALIN DEMAN,115
1541,KINAL,116
1542,KOTA MANNA,120
1543,SEMIDANG ALAS MARAS,121
1544,BUNGA MAS,120
1545,GIRI MULIA,117
1546,PELABAI,118
1547,MANNA,120
1548,SUNGAI SERUT,122
1549,KAMPUNG MELAYU,122
1550,TEBAT KARAI,119
1551,AIR NIPIS,120
1552,RATU AGUNG,122
1553,KAUR TENGAH,116
1554,LEBONG SELATAN,118
1555,V KOTO,115
1556,LEBONG SAKTI,118
1557,SELUMA UTARA,121
1558,SELAGAN RAYA,115
1559,SELUMA SELATAN,121
1560,ABUNG SELATAN,123
1561,NEGARA BATIN,124
1562,TERBANGGI BESAR,125
1563,PANCA JAYA,126
1564,ADI LUWIH,127
1565,BATANGHARI,128
1566,PEKALONGAN,128
1567,JABUNG,128
1568,TRIMURJO,125
1569,KALIANDA,129
1570,SIMPANG PEMATANG,126
1571,BANJAR MARGO,130
1572,WAY KENANGA,131
1573,KALIREJO,125
1574,ULUBELU,132
1575,PULAU PANGGUNG,132
1576,AIR NANINGAN,132
1577,REBANG TANGKAS,124
1578,GEDUNG AJI,130
1579,ABUNG KUNANG,123
1580,KOTABUMI SELATAN,123
1581,AMBARAWA,127
1582,RAWA PITU,130
1583,LIMAU,132
1584,BATU KETULIS,133
1585,BANJIT,124
1586,SUMBEREJO,132
1587,KARYA PENGGAWA,134
1588,PUNGGUR,125
1589,MENGGALA,130
1590,BANDAR NEGERI SEMUONG,132
1591,KEDONDONG,135
1592,PUGUNG,132
1593,KATIBUNG,129
1594,MENGGALA TIMUR,130
1595,GEDONG TATAAN (GEDUNG TATAAN),135
1596,BALIK BUKIT,133
1597,BAKAUHENI,129
1598,BARADATU,124
1599,SRAGI,129
1600,GEDUNG MENENG,130
1601,TELUKBETUNG BARAT,136
1602,KRUI SELATAN,134
1603,BANJAR BARU,130
1604,PESISIR UTARA,134
1605,PALAS,129
1606,WAY PANJI,129
1607,LEMONG,134
1608,ABUNG SURAKARTA,123
1609,BANDAR NEGERI SUOH,133
1610,BANDAR SRIBAWONO,128
1611,MUARA SUNGKAI,123
1612,TERUSAN NUNYAI,125
1613,SUKAU,133
1614,BENGKUNAT BELIMBING,134
1615,NEGERI AGUNG,124
1616,PULAU PISANG,134
1617,SIDOMULYO,129
1618,TULANG BAWANG TENGAH,131
1619,BENGKUNAT,134
1620,WONOSOBO,132
1621,LABUHAN MARINGGAI,128
1622,ANAK RATU AJI,125
1623,NATAR,129
1624,WAY TUBA,124
1625,PADANG RATU,125
1626,PUNDUH PIDADA (PEDADA),135
1627,SUOH,133
1628,TALANG PADANG,132
1629,RAJABASA,129
