id,nama_kecamatan,kota_id
5001,LINGGANG BIGUNG,330
5002,PALARAN,331
5003,SAMARINDA SEBERANG,331
5004,TENGGARONG,333
5005,BALIKPAPAN BARAT,338
5006,LONG BAGUN,330
5007,BALIKPAPAN UTARA,338
5008,MUARA BENGKAL,337
5009,MUARA KOMAM,332
5010,BATU SOPANG,332
5011,BATU AMPAR,337
5012,GUNUNG TABUR,334
5013,MUARA MUNTAI,333
5014,SAMBALIUNG,334
5015,JEMPANG,330
5016,PASIR BELENGKONG,332
5017,BONTANG BARAT,336
5018,SEBULU,333
5019,MUARA LAWA,330
5020,MUARA WAHAU,337
5021,SILUQ NGURAI,330
5022,LONG KALI,332
5023,SANGKULIRANG,337
5024,KOTA BANGUN,333
5025,MUARA KAMAN,333
5026,DAMAI,330
5027,BONTANG SELATAN,336
5028,BIATAN,334
5029,BIDUK-BIDUK,334
5030,TABANG,333
5031,MUARA SAMU,332
5032,SAMARINDA KOTA,331
5033,TANJUNG REDEB,334
5034,BONGAN,330
5035,KEMBANG JANGGUT,333
5036,SEGAH,334
5037,KAUBUN,337
5038,PENAJAM,335
5039,TALISAYAN,334
5040,MARANG KAYU,333
5041,TABALAR,334
5042,BALIKPAPAN SELATAN,338
5043,BALIKPAPAN KOTA,338
5044,TELUK PANDAN,337
5045,LAHAM,330
5046,MUARA PAHU,330
5047,LONG HUBUNG,330
5048,LONG PAHANGAI,330
5049,MUARA JAWA,333
5050,MELAK,330
5051,MUARA WIS,333
5052,MUARA ANCALONG,337
5053,BALIKPAPAN TENGAH,338
5054,LOA JANAN ILIR,331
5055,TANAH GROGOT,332
5056,SANGA-SANGA,333
5057,TERING,330
5058,LOA KULU,333
5059,TELEN,337
5060,KENOHAN,333
5061,SUNGAI KUNJANG,331
5062,DERAWAN (PULAU DERAWAN),334
5063,RANTAU PULUNG,337
5064,TANJUNG HARAPAN,332
5065,BENGALON,337
5066,KONGBENG,337
5067,TELUK BAYUR,334
5068,BALIKPAPAN TIMUR,338
5069,SAMARINDA UTARA,331
5070,KELAY,334
5071,LONG APARI,330
5072,BUSANG,337
5073,SAMBUTAN,331
5074,SANDARAN,337
5075,MARATUA,334
5076,LONG MESANGAT (MESENGAT),337
5077,SAMARINDA ILIR,331
5078,SANGATTA SELATAN,337
5079,SANGATTA UTARA,337
5080,SEKOLAQ DARAT,330
5081,SUNGAI BOH,339
5082,SEBATIK TENGAH,340
5083,SEKATAK,341
5084,TANJUNG PALAS,341
5085,SEBUKU,340
5086,BAHAU HULU,339
5087,TANJUNG SELOR,341
5088,TANJUNG PALAS UTARA,341
5089,SEMBAKUNG,340
5090,KRAYAN SELATAN,340
5091,KRAYAN,340
5092,SESAYAP HILIR,342
5093,SEBATIK,340
5094,SEBATIK BARAT,340
5095,MALINAU SELATAN HILIR,339
5096,MALINAU KOTA,339
5097,LUMBIS OGONG,340
5098,BETAYAU,342
5099,MALINAU UTARA,339
5100,MALINAU SELATAN,339
5101,TANJUNG PALAS TIMUR,341
5102,NUNUKAN,340
5103,TULIN ONSOI,340
5104,SEBATIK TIMUR,340
5105,LUMBIS,340
5106,KAYAN HILIR,339
5107,SESAYAP,342
5108,TARAKAN TIMUR,343
5109,MALINAU SELATAN HULU,339
5110,MENTARANG,339
5111,TARAKAN UTARA,343
5112,TARAKAN TENGAH,343
5113,TARAKAN BARAT,343
5114,MALINAU BARAT,339
5115,PUJUNGAN,339
5116,SEBATIK UTARA,340
5117,PESO,341
5118,KAYAN SELATAN,339
5119,PESO HILIR / ILIR,341
5120,TANJUNG PALAS BARAT,341
5121,MENTARANG HULU,339
5122,KAYAN HULU,339
5123,SUNGAI TUBU,339
5124,NUNUKAN SELATAN,340
5125,PULAU BUNYU,341
5126,TANJUNG PALAS TENGAH,341
5127,SEI MENGGARIS,340
5128,TANA LIA (TANAH LIA),342
5129,LOLAYAN,344
5130,PINOLOSIAN TENGAH,345
5131,SINONSAYANG,346
5132,AERTEMBAGA (BITUNG TIMUR),347
5133,MANDOLANG,348
5134,TABUKAN SELATAN TENGAH,349
5135,LIKUPANG BARAT,350
5136,AIRMADIDI,350
5137,DAMAO (DAMAU),351
5138,TAHUNA BARAT,349
5139,SIAU TIMUR,352
5140,RAINIS,351
5141,KALONGAN,351
5142,BUNAKEN KEPULAUAN,353
5143,BOLAANG TIMUR,344
5144,MELONGUANE,351
5145,ESSANG SELATAN,351
5146,DUMOGA TIMUR,344
5147,TAMPAN AMMA,351
5148,LANGOWAN TIMUR,348
5149,SANGKUB,354
5150,LANGOWAN BARAT,348
5151,GEMEH,351
5152,RANOWULU (BITUNG UTARA),347
5153,TAHUNA,349
5154,TAGULANDANG,352
5155,TATAPAAN,346
5156,LEMBEAN TIMUR,348
5157,LANGOWAN SELATAN,348
5158,NUANGAN,355
5159,BEO UTARA,351
5160,SANGTOMBOLANG,344
5161,MODAYAG,355
5162,MALALAYANG,353
5163,TABUKAN UTARA,349
5164,BUNAKEN,353
5165,MANGANITU,349
5166,BOLAANG UKI,345
5167,TAMAKO,349
5168,SALIBABU,351
5169,SIAU TIMUR SELATAN,352
5170,TOULUAAN SELATAN,356
5171,BOLAANG,344
5172,MODAYAG BARAT,355
5173,TIKALA,353
5174,BEO,351
5175,RATATOTOK,356
5176,TABUKAN SELATAN TENGGARA,349
5177,PINOGALUMAN,354
5178,LIKUPANG SELATAN,350
5179,SIAU BARAT UTARA,352
5180,LEMBEH UTARA,347
5181,TAHUNA TIMUR,349
5182,BINTAUNA,354
5183,POSIGADAN,345
5184,LEMBEH SELATAN (BITUNG SELATAN),347
5185,TAGULANDANG SELATAN,352
5186,MANGANITU SELATAN,349
5187,LOLAK,344
5188,SIAU BARAT SELATAN,352
5189,TABUKAN SELATAN,349
5190,TAGULANDANG UTARA,352
5191,BELANG,356
5192,MAPANGET,353
5193,PUSOMAEN,356
5194,SIAU TENGAH,352
5195,RANOYAPO,346
5196,TOMBATU,356
5197,KOTAMOBAGU UTARA,357
5198,KAIDIPANG,354
5199,BILALANG,344
5200,BOLANG ITANG TIMUR,354
5201,PASSI BARAT,344
5202,TABUKAN TENGAH,349
5203,MAESA,347
5204,AMURANG,346
5205,TUMINITING,353
5206,MAESAAN,346
5207,BOLANG ITANG BARAT,354
5208,DUMOGA TENGGARA,344
5209,TOMBARIRI,348
5210,MELONGUANE TIMUR,351
5211,TENGA,346
5212,BIARO,352
5213,WORI,350
5214,KOTABUNAN,355
5215,NUSA TABUKAN,349
5216,KAKAS BARAT,348
5217,ESSANG,351
5218,KABARUAN,351
5219,SIAU BARAT,352
5220,DUMOGA,344
5221,WENANG,353
5222,WANEA,353
5223,KOTAMOBAGU SELATAN,357
5224,TATOARENG,349
5225,NANUSA,351
5226,PULUTAN,351
5227,PINOLOSIAN TIMUR,345
5228,PAAL DUA,353
5229,DIMEMBE,350
5230,TUTUYAN,355
5231,DUMOGA BARAT,344
5232,DUMOGA UTARA,344
5233,LIKUPANG TIMUR,350
5234,AMURANG BARAT,346
5235,ERIS,348
5236,TOMBATU TIMUR,356
5237,GIRIAN,347
5238,KOTAMOBAGU BARAT,357
5239,POIGAR,344
5240,DUMOGA TENGAH,344
5241,PINOLOSIAN,345
5242,PASSI TIMUR,344
5243,KAUDITAN,350
5244,MADIDIR (BITUNG TENGAH),347
5245,REMBOKEN,348
5246,TOMOHON UTARA,358
5247,MODOINDING,346
5248,KALAWAT,350
5249,KOMBI,348
5250,PINELENG,348
5251,TOMPASO,348
5252,TOMBULU,348
5253,TOMOHON TENGAH,358
5254,TOMOHON SELATAN,358
5255,TONDANO UTARA,348
5256,TARERAN,346
5257,KAWANGKOAN BARAT,348
5258,KAWANGKOAN,348
5259,SULUUN TARERAN,346
5260,SINGKIL,353
5261,MOTOLING TIMUR,346
5262,TOMPASO BARU,346
5263,LANGOWAN UTARA,348
5264,TONDANO TIMUR,348
5265,SONDER,348
5266,KENDAHE,349
5267,KAKAS,348
5268,KEPULAUAN MARORE,349
5269,KEMA,350
5270,MOTOLING BARAT,346
5271,KAWANGKOAN UTARA,348
5272,KOTAMOBAGU TIMUR,357
5273,TALAWAAN,350
5274,AMURANG TIMUR,346
5275,TONDANO SELATAN,348
5276,TOMOHON TIMUR,358
5277,KUMELEMBUAI,346
5278,TOMBATU UTARA,356
5279,MOTOLING,346
5280,TUMPAAN,346
5281,TOMBARIRI TIMUR,348
5282,LIRUNG,351
5283,PASAN,356
5284,TOULUAAN,356
5285,RATAHAN,356
5286,MATUARI (BITUNG BARAT),347
5287,TONDANO BARAT,348
5288,BEO SELATAN,351
5289,MIANGAS,351
5290,MORONGE,351
5291,RATAHAN TIMUR,356
5292,TOMPASO BARAT,348
5293,SARIO,353
5294,SILIAN RAYA,356
5295,TOMOHON BARAT,358
5296,TOTIKUM (TOTIKUNG),359
5297,DAMPAL SELATAN,360
5298,BANGGAI TENGAH,359
5299,MOUTONG,361
5300,PARIGI BARAT,361
5301,TILOAN,362
5302,PELING TENGAH,359
5303,BULAGI SELATAN,359
5304,LABOBO (LOBANGKURUNG),359
5305,SINDUE TOBATA,363
5306,LORE UTARA,364
5307,AMPIBABO,361
5308,BULAGI,359
5309,SINDUE,363
5310,TINOMBO,361
5311,TINANGKUNG,359
5312,TOMINI,361
5313,BUNGKU BARAT,365
5314,AMPANA KOTA,366
5315,PAGIMANA,367
5316,PALOLO,368
5317,PAMONA TENGGARA,364
5318,LINDU,368
5319,DONDO,360
5320,BOLANO LAMBUNU / LAMBULU,361
5321,BUKO SELATAN,359
5322,LIANG,359
5323,MOILONG,367
5324,TOILI,367
5325,TORUE,361
5326,BUMI RAYA,365
5327,PARIGI UTARA,361
5328,TOGEAN,366
5329,LUWUK UTARA,367
5330,KINTOM,367
5331,LORE SELATAN,364
5332,LAMALA,367
5333,TOJO,366
5334,LOBU,367
5335,BAHODOPI,365
5336,BUNGKU TENGAH,365
5337,BUNGKU TIMUR,365
5338,PETASIA,365
5339,TAWAELI,369
5340,BOLANO,361
5341,GALANG,360
5342,BUNGKU SELATAN,365
5343,BULAGI UTARA,359
5344,POSO PESISIR UTARA,364
5345,BATUI,367
5346,NUHON,367
5347,DOLO BARAT,368
5348,KINOVARU,368
5349,BUNTA,367
5350,AMPANA TETE,366
5351,BALANTAK,367
5352,PALU BARAT,369
5353,TANANTOVEA,363
5354,LORE TENGAH,364
5355,MARAWOLA,368
5356,BALINGGI,361
5357,SIRENJA,363
5358,DOLO SELATAN,368
5359,SOJOL,363
5360,PINEMBANI,363
5361,OGO DEIDE,360
5362,PARIGI,361
5363,TOJO BARAT,366
5364,DAMPAL UTARA,360
5365,BANAWA SELATAN,363
5366,PALASA,361
5367,UNA - UNA,366
5368,TINANGKUNG UTARA,359
5369,PIPIKORO,368
5370,PAMONA SELATAN,364
5371,KULAWI,368
5372,LUWUK TIMUR,367
5373,BANGGAI SELATAN,359
5374,BAOLAN,360
5375,LUWUK,367
5376,KARAMAT,362
5377,BUKO,359
5378,LAGE,364
5379,BALANTAK UTARA,367
5380,PALELEH,362
5381,BUNGKU UTARA,365
5382,SINDUE TOMBUSABORA,363
5383,SOYO JAYA,365
5384,POSO PESISIR,364
5385,SOJOL UTARA,363
5386,SIMPANG RAYA,367
5387,PALU TIMUR,369
5388,POSO PESISIR SELATAN,364
5389,LEMBO,365
5390,LORE PIORE,364
5391,BUKAL,362
